,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,471,,,,,41,13,28,0.317,13.3,1.1,3.3,0.331,0.2,0.7,0.233,1.0,1.2,0.875,0.7,1.8,2.5,1.4,0.8,0.2,0.3,0.4,1.5,0.0,3.4,-2.5,0,0,5,"471,",1996
1,1,920,A.C. Green,1610612742.0,DAL,33.0,83,23,60,0.277,30.8,2.8,5.8,0.483,0.0,0.2,0.05,1.5,2.4,0.65,2.7,5.2,7.9,0.8,0.9,0.8,0.2,0.5,1.7,0.0,7.2,-4.2,16,0,5,"920,1610612742",1996
2,2,243,Aaron McKie,1610612765.0,DET,24.0,83,48,35,0.578,20.4,1.8,4.4,0.411,0.5,1.2,0.398,1.1,1.3,0.836,0.5,2.2,2.7,1.9,1.1,0.9,0.3,0.4,1.5,0.0,5.2,1.6,1,0,5,"243,1610612765",1996
3,3,1425,Aaron Williams,1610612763.0,VAN,25.0,33,4,29,0.121,17.8,2.6,4.5,0.574,0.0,0.0,0.0,1.0,1.5,0.673,1.9,2.5,4.3,0.5,1.0,0.5,0.9,0.2,2.0,0.0,6.2,-3.2,0,0,5,"1425,1610612763",1996
4,4,768,Acie Earl,1610612749.0,MIL,27.0,47,14,33,0.298,11.1,1.4,3.8,0.374,0.0,0.1,0.0,1.1,1.8,0.643,0.7,1.3,2.0,0.4,0.7,0.3,0.6,0.2,1.3,0.0,4.0,-1.3,0,0,5,"768,1610612749",1996
5,5,228,Adam Keefe,1610612762.0,UTA,27.0,62,48,14,0.774,15.4,1.3,2.6,0.513,0.0,0.0,0.0,1.1,1.7,0.689,1.2,2.3,3.5,0.5,0.7,0.5,0.2,0.2,1.5,0.0,3.8,2.0,1,0,5,"228,1610612762",1996
6,6,154,Adrian Caldwell,1610612755.0,PHI,30.0,45,12,33,0.267,13.1,0.9,2.0,0.435,0.0,0.0,0.0,0.5,1.1,0.42,1.3,2.4,3.7,0.3,0.6,0.4,0.2,0.2,1.7,0.0,2.2,-1.7,0,0,5,"154,1610612755",1996
7,7,673,Alan Henderson,1610612737.0,ATL,24.0,30,20,10,0.667,17.2,2.6,5.4,0.475,0.0,0.0,0.0,1.5,2.5,0.6,1.6,2.3,3.9,0.8,1.0,0.7,0.2,0.5,2.3,0.0,6.6,-2.7,2,0,5,"673,1610612737",1996
8,8,1059,Aleksandar Djordjevic,1610612757.0,POR,29.0,8,4,4,0.5,7.9,1.0,2.0,0.5,0.6,0.9,0.714,0.5,0.6,0.8,0.1,0.5,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0.0,3.1,1.0,0,0,5,"1059,1610612757",1996
9,9,275,Allan Houston,1610612752.0,NYK,26.0,81,56,25,0.691,34.3,5.4,12.7,0.423,1.8,4.7,0.385,2.2,2.7,0.803,0.5,2.4,3.0,2.2,2.1,0.5,0.2,0.4,2.6,0.0,14.8,1.3,0,0,5,"275,1610612752",1996
