,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,920,A.C. Green,1610612748,MIA,37.0,82,50,32,0.61,17.2,1.8,4.0,0.444,0.0,0.1,0.0,1.0,1.4,0.712,1.3,2.5,3.8,0.5,0.5,0.4,0.1,0.4,1.5,0.0,4.5,1.3,3,0,5,"920,1610612748",2000
1,1,2062,A.J. Guyton,1610612741,CHI,23.0,33,6,27,0.182,19.0,2.4,5.8,0.406,0.8,2.1,0.391,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.7,0.3,0.2,0.1,1.1,0.0,6.0,-4.4,0,0,5,"2062,1610612741",2000
2,2,243,Aaron McKie,1610612755,PHI,28.0,76,51,25,0.671,31.5,4.4,9.4,0.473,0.7,2.2,0.312,2.0,2.6,0.768,0.4,3.7,4.1,5.0,2.7,1.4,0.1,0.7,2.3,0.0,11.6,4.5,8,2,5,"243,1610612755",2000
3,3,1425,Aaron Williams,1610612751,NJN,29.0,82,26,56,0.317,28.5,3.6,7.9,0.457,0.0,0.0,0.0,3.0,3.8,0.787,2.6,4.6,7.2,1.1,1.6,0.7,1.4,0.9,3.9,0.0,10.2,-4.6,12,0,5,"1425,1610612751",2000
4,4,228,Adam Keefe,1610612744,GSW,31.0,67,14,53,0.209,12.6,1.0,2.4,0.403,0.0,0.0,0.333,0.6,0.9,0.619,1.3,1.8,3.1,0.5,0.6,0.4,0.3,0.3,1.5,0.0,2.5,-2.6,0,0,5,"228,1610612744",2000
5,5,1502,Adonal Foyle,1610612744,GSW,26.0,58,8,50,0.138,25.2,2.7,6.5,0.416,0.0,0.0,0.0,0.5,1.2,0.441,2.7,4.3,7.0,0.8,1.4,0.5,2.7,0.6,2.3,0.0,5.9,-5.5,7,0,5,"1502,1610612744",2000
6,6,1559,Adrian Griffin,1610612738,BOS,26.0,44,16,28,0.364,8.5,0.8,2.2,0.34,0.2,0.6,0.346,0.4,0.5,0.75,0.6,1.4,2.0,0.6,0.4,0.4,0.1,0.2,1.0,0.0,2.1,-1.0,0,0,5,"1559,1610612738",2000
7,7,1733,Al Harrington,1610612754,IND,21.0,78,39,39,0.5,24.3,3.1,7.0,0.444,0.0,0.1,0.143,1.3,2.0,0.656,1.5,3.4,4.9,1.7,1.9,0.8,0.2,0.6,2.9,0.0,7.5,-0.3,8,0,5,"1733,1610612754",2000
8,8,673,Alan Henderson,1610612737,ATL,28.0,73,20,53,0.274,24.8,4.1,9.2,0.444,0.0,0.0,0.0,2.4,3.7,0.638,2.5,3.1,5.6,0.7,1.7,0.7,0.4,1.1,2.2,0.0,10.5,-3.6,11,0,5,"673,1610612737",2000
9,9,275,Allan Houston,1610612752,NYK,30.0,78,45,33,0.577,36.6,6.9,15.5,0.449,1.2,3.2,0.381,3.6,3.9,0.909,0.3,3.4,3.6,2.2,2.1,0.7,0.1,0.8,2.4,0.0,18.7,1.5,0,0,5,"275,1610612752",2000
10,10,947,Allen Iverson,1610612755,PHI,26.0,71,50,21,0.704,41.9,10.7,25.5,0.42,1.4,4.3,0.32,8.2,10.1,0.814,0.7,3.1,3.8,4.6,3.3,2.5,0.3,1.4,2.1,0.0,31.1,5.2,4,0,5,"947,1610612755",2000
11,11,297,Alonzo Mourning,1610612748,MIA,31.0,13,8,5,0.615,23.5,5.6,10.8,0.518,0.0,0.1,0.0,2.4,4.2,0.564,2.7,5.1,7.8,0.9,2.2,0.3,2.4,0.8,1.8,0.0,13.6,2.2,2,0,5,"297,1610612748",2000
12,12,1541,Alvin Williams,1610612761,TOR,26.0,82,47,35,0.573,29.2,4.0,9.4,0.43,0.4,1.3,0.306,1.3,1.8,0.752,0.6,2.0,2.6,5.0,1.3,1.5,0.3,0.5,2.1,0.0,9.8,1.9,8,1,5,"1541,1610612761",2000
13,13,1889,Andre Miller,1610612739,CLE,25.0,82,30,52,0.366,34.7,5.5,12.2,0.452,0.2,0.8,0.266,4.6,5.5,0.833,1.1,3.2,4.4,8.0,3.2,1.5,0.3,1.1,2.8,0.0,15.8,-0.7,22,0,5,"1889,1610612739",2000
14,14,692,Andrew DeClercq,1610612753,ORL,28.0,67,37,30,0.552,13.4,1.6,2.9,0.554,0.0,0.0,0.0,0.7,1.2,0.573,1.4,2.2,3.5,0.5,0.8,0.6,0.5,0.5,3.0,0.0,3.9,1.7,0,0,5,"692,1610612753",2000
15,15,1950,Andy Panko,1610612737,ATL,23.0,1,1,0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,"1950,1610612737",2000
16,16,358,Anfernee Hardaway,1610612756,PHX,29.0,4,2,2,0.5,27.6,3.8,9.0,0.417,0.5,2.0,0.25,1.8,2.8,0.636,1.3,3.3,4.5,3.8,0.8,1.5,0.3,0.3,1.5,0.0,9.8,-1.5,0,0,5,"358,1610612756",2000
17,17,1712,Antawn Jamison,1610612744,GSW,25.0,82,17,65,0.207,41.4,9.8,22.1,0.442,0.8,2.5,0.302,4.7,6.5,0.715,3.4,5.3,8.7,2.0,2.4,1.4,0.3,1.2,2.7,0.0,24.9,-6.8,33,0,5,"1712,1610612744",2000
18,18,1853,Anthony Carter,1610612748,MIA,26.0,72,43,29,0.597,22.7,2.7,6.7,0.406,0.1,0.6,0.15,0.9,1.4,0.631,0.6,1.9,2.5,3.7,1.7,1.0,0.1,0.3,2.1,0.0,6.4,0.8,0,0,5,"1853,1610612748",2000
19,19,924,Anthony Goldwire,1610612743,DEN,29.0,20,8,12,0.4,10.0,1.5,4.0,0.375,0.5,1.7,0.265,0.7,0.9,0.765,0.1,0.6,0.6,1.7,0.8,0.5,0.0,0.3,0.7,0.0,4.1,-1.0,0,0,5,"924,1610612743",2000
20,20,1533,Anthony Johnson,1610612739,CLE,26.0,53,16,37,0.302,9.6,1.0,2.9,0.349,0.0,0.1,0.2,0.4,0.6,0.697,0.2,0.6,0.8,1.5,0.6,0.4,0.1,0.2,1.2,0.0,2.5,-2.0,0,0,5,"1533,1610612739",2000
21,21,193,Anthony Mason,1610612748,MIA,34.0,80,49,31,0.613,40.7,5.8,11.9,0.482,0.0,0.0,0.0,4.6,5.9,0.781,2.1,7.5,9.6,3.1,2.2,1.0,0.3,1.3,2.9,0.0,16.1,1.4,36,0,5,"193,1610612748",2000
22,22,292,Anthony Miller,1610612755,PHI,29.0,4,1,3,0.25,2.9,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.5,-1.8,0,0,5,"292,1610612755",2000
23,23,324,Anthony Peeler,1610612750,MIN,31.0,75,42,33,0.56,28.3,4.1,9.8,0.421,1.3,3.4,0.391,1.0,1.2,0.862,0.6,2.0,2.6,2.6,1.4,1.2,0.2,0.4,2.2,0.0,10.5,1.0,1,0,5,"324,1610612750",2000
24,24,952,Antoine Walker,1610612738,BOS,24.0,81,35,46,0.432,41.9,8.8,21.2,0.413,2.7,7.4,0.367,3.1,4.3,0.716,1.9,7.0,8.9,5.5,3.7,1.7,0.6,1.4,3.1,0.0,23.4,-1.5,38,5,5,"952,1610612738",2000
25,25,1498,Antonio Daniels,1610612759,SAS,26.0,79,55,24,0.696,26.1,3.5,7.4,0.468,0.9,2.3,0.404,1.5,2.0,0.776,0.3,1.7,2.1,3.8,1.4,0.8,0.2,0.3,1.5,0.0,9.4,2.0,2,0,5,"1498,1610612759",2000
26,26,213,Antonio Davis,1610612761,TOR,32.0,78,46,32,0.59,35.0,4.8,11.1,0.433,0.0,0.0,0.0,4.1,5.4,0.754,3.5,6.6,10.1,1.4,1.7,0.3,1.9,1.3,2.9,0.0,13.7,3.2,37,0,5,"213,1610612761",2000
27,27,176,Antonio Harvey,1610612757,POR,30.0,12,6,6,0.5,6.0,1.1,2.3,0.464,0.0,0.0,0.0,0.4,0.5,0.833,0.4,0.8,1.2,0.3,0.3,0.1,0.5,0.2,0.8,0.0,2.6,-2.1,0,0,5,"176,1610612757",2000
28,28,686,Antonio McDyess,1610612743,DEN,26.0,70,34,36,0.486,36.5,8.2,16.6,0.495,0.0,0.0,0.0,4.3,6.2,0.7,3.4,8.6,12.1,2.1,2.3,0.6,1.5,1.0,3.1,0.0,20.8,0.1,51,0,5,"686,1610612743",2000
29,29,1609,Art Long,1610612758,SAC,28.0,9,8,1,0.889,2.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.7,0.9,0.1,0.2,0.0,0.3,0.1,0.6,0.0,0.0,-1.0,0,0,5,"1609,1610612758",2000
30,30,717,Arvydas Sabonis,1610612757,POR,36.0,61,37,24,0.607,21.2,4.0,8.5,0.479,0.0,0.2,0.067,2.0,2.6,0.776,0.8,4.6,5.4,1.5,1.4,0.7,1.0,0.4,2.2,0.0,10.1,4.0,3,0,5,"717,1610612757",2000
31,31,1506,Austin Croshere,1610612754,IND,26.0,81,40,41,0.494,23.1,3.4,8.7,0.394,0.9,2.6,0.338,2.5,2.9,0.866,1.5,3.3,4.8,1.1,1.7,0.4,0.6,0.8,2.2,0.0,10.1,0.4,8,0,5,"1506,1610612754",2000
32,32,422,Avery Johnson,1610612759,SAS,36.0,55,40,15,0.727,23.4,2.4,5.5,0.447,0.0,0.1,0.167,0.7,1.1,0.683,0.4,1.2,1.5,4.3,1.1,0.6,0.1,0.3,1.6,0.0,5.6,3.2,0,0,5,"422,1610612759",2000
33,33,1884,Baron Davis,1610612766,CHH,22.0,82,46,36,0.561,38.9,5.0,11.7,0.427,1.0,3.3,0.31,2.8,4.1,0.677,1.6,3.4,5.0,7.3,2.8,2.1,0.4,0.5,3.3,0.0,13.8,3.3,11,2,5,"1884,1610612766",2000
34,34,1112,Ben Wallace,1610612765,DET,26.0,80,32,48,0.4,34.5,2.7,5.5,0.491,0.0,0.1,0.25,1.0,3.0,0.336,3.8,9.4,13.2,1.5,1.5,1.3,2.3,0.5,2.4,0.0,6.4,0.5,12,0,5,"1112,1610612765",2000
35,35,223,Bill Curley,1610612744,GSW,29.0,20,7,13,0.35,9.6,1.3,2.4,0.532,0.1,0.1,0.5,0.6,1.0,0.632,1.1,0.8,1.9,0.2,0.8,0.4,0.5,0.1,2.3,0.0,3.2,-1.8,0,0,5,"223,1610612744",2000
