,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,243,Aaron McKie,1610612755,PHI,32.0,68,35,33,0.515,16.6,0.9,2.1,0.43,0.3,0.9,0.323,0.1,0.2,0.625,0.3,2.2,2.5,1.5,0.5,0.7,0.3,0.2,1.7,0.0,2.2,0.2,0,0,5,"243,1610612755",2004
1,1,1425,Aaron Williams,1610612761,TOR,33.0,42,13,29,0.31,7.4,0.7,1.5,0.46,0.0,0.0,0.0,0.4,0.4,0.882,0.4,1.0,1.4,0.2,0.4,0.1,0.2,0.2,1.7,0.0,1.7,-3.2,0,0,5,"1425,1610612761",2004
2,2,1502,Adonal Foyle,1610612744,GSW,30.0,78,31,47,0.397,21.8,2.0,4.0,0.502,0.0,0.0,0.0,0.5,0.9,0.556,2.1,3.4,5.5,0.7,0.7,0.3,2.0,0.3,2.6,0.0,4.5,-0.4,3,0,5,"1502,1610612744",2004
3,3,1559,Adrian Griffin,1610612741,CHI,30.0,69,38,31,0.551,9.5,0.8,2.3,0.36,0.0,0.1,0.222,0.5,0.6,0.75,0.8,1.4,2.1,0.8,0.4,0.6,0.1,0.1,1.1,0.0,2.2,0.6,0,0,5,"1559,1610612741",2004
4,4,1733,Al Harrington,1610612737,ATL,25.0,66,10,56,0.152,38.6,6.9,14.9,0.459,0.2,1.1,0.216,3.6,5.3,0.672,2.2,4.8,7.0,3.2,3.1,1.3,0.2,1.1,3.8,0.0,17.5,-7.8,12,0,5,"1733,1610612737",2004
5,5,2744,Al Jefferson,1610612738,BOS,20.0,71,39,32,0.549,14.7,2.7,5.2,0.528,0.0,0.0,0.0,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.9,0.3,0.8,0.5,2.7,0.0,6.7,-0.6,3,0,5,"2744,1610612738",2004
6,6,673,Alan Henderson,1610612742,DAL,32.0,78,55,23,0.705,15.3,1.5,2.8,0.527,0.0,0.0,0.0,0.5,1.0,0.539,2.1,2.4,4.5,0.3,0.6,0.4,0.5,0.4,1.9,0.0,3.5,-2.1,2,0,5,"673,1610612742",2004
7,7,1893,Aleksandar Radojevic,1610612762,UTA,28.0,12,1,11,0.083,10.7,0.5,1.6,0.316,0.0,0.0,0.0,0.6,0.8,0.7,0.8,1.6,2.3,0.5,1.3,0.0,0.2,0.4,2.7,0.0,1.6,-1.2,0,0,5,"1893,1610612762",2004
8,8,2682,Alex Garcia,1610612740,NOH,25.0,8,0,8,0.0,18.2,2.3,6.5,0.346,0.6,2.3,0.278,0.4,0.5,0.75,0.9,1.0,1.9,2.3,1.0,0.5,0.1,0.4,1.9,0.0,5.5,-4.6,0,0,5,"2682,1610612740",2004
9,9,275,Allan Houston,1610612752,NYK,34.0,20,8,12,0.4,26.7,4.3,10.3,0.415,1.6,4.0,0.388,1.8,2.2,0.837,0.2,1.0,1.2,2.1,1.1,0.4,0.1,0.3,2.0,0.0,11.9,1.2,0,0,5,"275,1610612752",2004
