,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,243,Aaron McKie,1610612747,LAL,33.0,14,9,5,0.643,8.7,0.2,0.9,0.25,0.0,0.1,0.0,0.1,0.1,0.5,0.2,1.2,1.4,0.8,0.1,0.4,0.0,0.0,0.5,0.1,0.5,-1.4,0,0,5,"243,1610612747",2005
1,1,101223,Aaron Miles,1610612744,GSW,23.0,19,13,6,0.684,6.2,0.3,0.9,0.333,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.7,0.7,1.3,0.6,0.2,0.1,0.2,0.7,0.4,0.8,-0.2,0,0,5,"101223,1610612744",2005
2,2,1425,Aaron Williams,1610612740,NOK,34.0,48,21,27,0.438,16.5,1.9,3.7,0.517,0.0,0.0,0.0,0.8,1.2,0.69,1.3,2.4,3.8,0.4,0.6,0.4,0.4,0.4,2.9,1.0,4.6,-0.8,1,0,5,"1425,1610612740",2005
3,3,1502,Adonal Foyle,1610612744,GSW,31.0,77,32,45,0.416,23.7,2.0,3.9,0.507,0.0,0.0,0.0,0.5,0.9,0.612,1.9,3.6,5.5,0.4,1.0,0.6,1.6,0.3,2.8,1.1,4.5,-0.4,2,0,5,"1502,1610612744",2005
4,4,1559,Adrian Griffin,1610612742,DAL,31.0,52,40,12,0.769,23.9,1.9,3.9,0.48,0.0,0.0,0.0,0.8,1.0,0.774,1.4,2.9,4.4,1.7,0.8,1.0,0.2,0.3,2.2,0.8,4.6,3.6,2,0,5,"1559,1610612742",2005
5,5,1733,Al Harrington,1610612737,ATL,26.0,76,24,52,0.316,36.6,7.3,16.1,0.452,0.9,2.5,0.346,3.2,4.6,0.694,1.7,5.1,6.9,3.1,2.6,1.1,0.2,0.9,4.0,3.8,18.6,-4.4,15,0,5,"1733,1610612737",2005
6,6,2744,Al Jefferson,1610612738,BOS,21.0,59,23,36,0.39,18.0,3.2,6.4,0.499,0.0,0.1,0.0,1.5,2.3,0.642,1.6,3.4,5.1,0.5,1.1,0.5,0.8,0.7,2.8,2.0,7.9,-1.8,5,0,5,"2744,1610612738",2005
7,7,101187,Alan Anderson,1610612766,CHA,23.0,36,7,29,0.194,15.7,2.1,5.0,0.414,0.7,1.6,0.414,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.9,0.3,0.1,0.5,1.3,1.1,5.8,0.2,0,0,5,"101187,1610612766",2005
8,8,673,Alan Henderson,1610612739,CLE,33.0,51,31,20,0.608,10.4,0.9,1.8,0.516,0.0,0.0,0.0,0.6,1.0,0.673,1.2,1.5,2.7,0.2,0.4,0.2,0.2,0.3,1.1,0.7,2.5,-0.9,1,0,5,"673,1610612739",2005
9,9,101165,Alex Acker,1610612765,DET,23.0,5,3,2,0.6,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.8,0.2,0.0,0.4,0.8,0.2,1.8,-6.6,0,0,5,"101165,1610612765",2005
10,10,2637,Alex Scales,1610612759,SAS,27.0,1,1,0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,"2637,1610612759",2005
11,11,947,Allen Iverson,1610612755,PHI,31.0,72,35,37,0.486,43.1,11.3,25.3,0.447,1.0,3.1,0.323,9.4,11.5,0.814,0.6,2.6,3.2,7.4,3.4,1.9,0.1,1.4,1.7,9.3,33.0,0.0,18,0,5,"947,1610612755",2005
12,12,297,Alonzo Mourning,1610612748,MIA,36.0,65,43,22,0.662,20.0,2.9,4.8,0.597,0.0,0.0,0.0,2.0,3.4,0.594,1.9,3.6,5.5,0.2,1.2,0.2,2.7,0.4,2.7,3.0,7.8,3.6,9,0,5,"297,1610612748",2005
13,13,1541,Alvin Williams,1610612761,TOR,31.0,1,0,1,0.0,9.8,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-5.0,0,0,5,"1541,1610612761",2005
14,14,2405,Amar'e Stoudemire,1610612756,PHX,23.0,3,2,1,0.667,16.8,3.0,9.0,0.333,0.0,0.3,0.0,2.7,3.0,0.889,2.0,3.3,5.3,0.7,0.3,0.3,1.0,1.3,1.3,3.0,8.7,-1.3,0,0,5,"2405,1610612756",2005
15,15,101161,Amir Johnson,1610612765,DET,19.0,3,1,2,0.333,12.9,2.3,3.3,0.7,0.7,1.0,0.667,1.3,1.3,1.0,1.0,0.3,1.3,1.0,1.3,0.0,0.7,0.0,2.3,0.7,6.7,-7.3,0,0,5,"101161,1610612765",2005
16,16,2760,Anderson Varejao,1610612739,CLE,23.0,48,29,19,0.604,15.8,1.6,3.1,0.527,0.0,0.0,0.0,1.3,2.5,0.513,1.6,3.3,4.9,0.4,0.6,0.6,0.4,0.2,2.5,2.5,4.6,1.8,2,0,5,"2760,1610612739",2005
17,17,101154,Andray Blatche,1610612764,WAS,19.0,29,16,13,0.552,6.1,0.9,2.3,0.388,0.1,0.4,0.231,0.3,0.4,0.833,0.4,0.9,1.3,0.3,0.4,0.2,0.2,0.2,1.2,0.3,2.2,-0.3,0,0,5,"101154,1610612764",2005
18,18,2857,Andre Barrett,1610612761,TOR,24.0,19,4,15,0.211,14.9,2.0,5.5,0.365,0.1,0.7,0.143,0.5,0.6,0.75,0.5,0.8,1.3,2.7,0.8,0.5,0.0,0.6,0.7,0.7,4.6,-1.3,0,0,5,"2857,1610612761",2005
19,19,2738,Andre Iguodala,1610612755,PHI,22.0,82,38,44,0.463,37.6,4.2,8.4,0.5,0.7,1.9,0.354,3.2,4.3,0.754,1.4,4.4,5.9,3.1,1.9,1.6,0.3,0.4,2.4,3.1,12.3,0.0,7,0,5,"2738,1610612755",2005
20,20,1889,Andre Miller,1610612743,DEN,30.0,82,44,38,0.537,35.8,4.9,10.6,0.463,0.1,0.3,0.185,3.8,5.2,0.738,1.1,3.2,4.3,8.2,3.1,1.3,0.2,0.8,2.6,4.3,13.7,1.6,20,0,5,"1889,1610612743",2005
21,21,101261,Andre Owens,1610612762,UTA,25.0,23,8,15,0.348,9.1,1.2,3.2,0.365,0.1,0.7,0.188,0.5,0.8,0.667,0.5,0.4,0.9,0.3,0.6,0.2,0.0,0.6,1.1,0.7,3.0,-1.4,0,0,5,"101261,1610612762",2005
22,22,1905,Andrei Kirilenko,1610612762,UTA,25.0,69,38,31,0.551,37.7,4.9,10.6,0.46,0.5,1.7,0.308,5.0,7.2,0.699,2.3,5.7,8.0,4.3,2.9,1.5,3.2,0.8,2.3,5.4,15.3,0.6,22,2,5,"1905,1610612762",2005
23,23,2804,Andres Nocioni,1610612741,CHI,26.0,82,41,41,0.5,27.3,4.7,10.1,0.461,1.1,2.9,0.391,2.5,3.0,0.843,1.1,5.0,6.1,1.4,1.5,0.5,0.6,0.8,3.1,3.3,13.0,-1.0,13,0,5,"2804,1610612741",2005
24,24,101106,Andrew Bogut,1610612749,MIL,21.0,82,40,42,0.488,28.6,3.9,7.4,0.533,0.0,0.0,0.0,1.5,2.4,0.629,2.3,4.7,7.0,2.3,1.5,0.6,0.8,0.7,3.2,2.8,9.4,0.9,12,0,5,"101106,1610612749",2005
25,25,101115,Andrew Bynum,1610612747,LAL,18.0,46,29,17,0.63,7.4,0.7,1.8,0.402,0.0,0.0,0.0,0.2,0.6,0.296,0.7,1.0,1.7,0.2,0.4,0.1,0.5,0.3,1.2,0.5,1.6,-1.0,0,0,5,"101115,1610612747",2005
26,26,2740,Andris Biedrins,1610612744,GSW,20.0,68,30,38,0.441,14.7,1.7,2.7,0.638,0.0,0.0,0.0,0.3,1.1,0.306,1.8,2.3,4.2,0.4,0.5,0.3,0.7,0.2,2.8,1.1,3.8,0.5,2,0,5,"2740,1610612744",2005
27,27,358,Anfernee Hardaway,1610612752,NYK,34.0,4,1,3,0.25,17.9,1.0,3.5,0.286,0.0,0.3,0.0,0.5,0.5,1.0,0.0,2.5,2.5,2.0,1.5,0.5,0.0,0.0,1.8,0.8,2.5,1.8,0,0,5,"358,1610612752",2005
28,28,1712,Antawn Jamison,1610612764,WAS,30.0,82,42,40,0.512,40.1,8.0,18.2,0.442,1.8,4.5,0.394,2.6,3.6,0.731,2.0,7.3,9.3,1.9,1.7,1.1,0.1,0.7,2.3,3.3,20.5,3.0,35,0,5,"1712,1610612764",2005
29,29,1853,Anthony Carter,1610612750,MIN,31.0,45,19,26,0.422,13.1,1.2,3.0,0.387,0.1,0.3,0.267,0.9,1.2,0.727,0.2,1.2,1.4,2.2,0.9,0.5,0.2,0.1,1.6,1.0,3.3,-0.9,0,0,5,"1853,1610612750",2005
30,30,924,Anthony Goldwire,1610612746,LAC,34.0,3,3,0,1.0,7.3,0.3,2.3,0.143,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.7,0,0,5,"924,1610612746",2005
31,31,101219,Anthony Grundy,1610612737,ATL,27.0,12,5,7,0.417,9.0,1.6,3.2,0.5,0.4,1.3,0.333,0.8,1.2,0.643,0.1,1.3,1.4,0.8,0.8,0.6,0.0,0.1,1.2,1.0,4.3,2.4,0,0,5,"101219,1610612737",2005
32,32,1533,Anthony Johnson,1610612754,IND,31.0,75,35,40,0.467,26.4,3.6,8.0,0.443,0.7,2.1,0.329,1.4,1.9,0.752,0.4,1.8,2.2,4.3,1.5,0.8,0.3,0.4,1.8,1.8,9.2,1.8,2,0,5,"1533,1610612754",2005
33,33,101194,Anthony Roberson,1610612763,MEM,23.0,16,11,5,0.688,5.5,0.9,1.9,0.452,0.3,0.6,0.5,0.1,0.1,1.0,0.0,0.4,0.4,0.3,0.2,0.1,0.0,0.1,0.4,0.3,2.2,-0.1,0,0,5,"101194,1610612763",2005
34,34,952,Antoine Walker,1610612748,MIA,29.0,82,52,30,0.634,26.8,4.8,11.0,0.435,1.7,4.7,0.358,1.0,1.6,0.628,1.3,3.9,5.1,2.0,1.8,0.6,0.4,0.5,2.3,1.4,12.2,1.7,4,0,5,"952,1610612748",2005
35,35,101120,Antoine Wright,1610612751,NJN,22.0,39,24,15,0.615,9.5,0.7,2.1,0.358,0.0,0.4,0.067,0.3,0.6,0.5,0.2,0.6,0.8,0.3,0.5,0.1,0.1,0.2,1.1,0.5,1.8,-1.9,0,0,5,"101120,1610612751",2005
36,36,2766,Antonio Burks,1610612763,MEM,26.0,57,34,23,0.596,10.0,0.9,2.5,0.354,0.0,0.1,0.167,0.2,0.4,0.435,0.1,0.6,0.6,1.3,0.6,0.4,0.0,0.1,0.8,0.5,2.0,-0.5,0,0,5,"2766,1610612763",2005
37,37,1498,Antonio Daniels,1610612764,WAS,31.0,80,42,38,0.525,28.5,2.9,6.9,0.418,0.3,1.3,0.228,3.6,4.2,0.845,0.2,1.9,2.2,3.6,1.1,0.7,0.1,0.3,1.2,3.4,9.6,1.5,0,0,5,"1498,1610612764",2005
38,38,213,Antonio Davis,1610612761,TOR,37.0,44,16,28,0.364,21.4,1.9,4.3,0.432,0.0,0.0,0.0,1.2,1.8,0.642,2.0,2.7,4.7,0.5,1.2,0.5,0.2,0.4,2.8,2.2,4.9,-4.4,0,0,5,"213,1610612761",2005
39,39,686,Antonio McDyess,1610612765,DET,31.0,82,64,18,0.78,21.1,3.5,6.8,0.509,0.0,0.0,0.0,0.8,1.5,0.557,1.9,3.4,5.3,1.1,0.9,0.6,0.6,0.2,2.7,1.6,7.8,1.7,5,0,5,"686,1610612765",2005
