,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,201166,Aaron Brooks,1610612745,HOU,24.0,80,52,28,0.65,25.0,4.0,9.8,0.404,1.4,3.9,0.366,1.9,2.2,0.866,0.4,1.6,2.0,3.0,1.6,0.6,0.1,0.7,1.9,1.9,11.2,2.1,2,0,5,"201166,1610612745",2008
1,1,201189,Aaron Gray,1610612741,CHI,24.0,56,26,30,0.464,12.8,1.4,3.0,0.485,0.0,0.0,0.0,0.6,1.1,0.576,1.5,2.4,3.9,0.8,0.7,0.3,0.3,0.4,2.4,0.9,3.5,-1.0,1,0,5,"201189,1610612741",2008
2,2,201151,Acie Law,1610612737,ATL,24.0,55,33,22,0.6,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.9,1.1,0.817,0.1,0.9,1.1,1.6,0.5,0.2,0.1,0.4,0.8,0.9,2.9,0.0,0,0,5,"201151,1610612737",2008
3,3,200747,Adam Morrison,1610612747,LAL,24.0,52,23,29,0.442,13.7,1.5,4.3,0.359,0.6,1.8,0.333,0.3,0.4,0.739,0.3,1.2,1.5,0.8,0.6,0.2,0.1,0.2,1.5,0.5,4.0,-2.1,0,0,5,"200747,1610612747",2008
4,4,1502,Adonal Foyle,1610612753,ORL,34.0,10,6,4,0.6,6.2,0.7,1.1,0.636,0.0,0.0,0.0,0.3,0.6,0.5,0.9,1.7,2.6,0.1,0.3,0.0,0.8,0.0,0.5,0.2,1.7,-1.0,0,0,5,"1502,1610612753",2008
5,5,1733,Al Harrington,1610612752,NYK,29.0,73,27,46,0.37,34.9,7.3,16.6,0.439,2.3,6.4,0.364,3.2,4.0,0.793,1.4,4.9,6.2,1.4,2.2,1.2,0.3,1.1,3.1,3.6,20.1,-1.0,10,0,5,"1733,1610612752",2008
6,6,201143,Al Horford,1610612737,ATL,23.0,67,41,26,0.612,33.5,4.7,8.9,0.525,0.0,0.0,0.0,2.2,3.1,0.727,2.2,7.1,9.3,2.4,1.5,0.8,1.4,0.4,2.8,2.5,11.5,0.2,20,0,5,"201143,1610612737",2008
7,7,2744,Al Jefferson,1610612750,MIN,24.0,50,17,33,0.34,36.7,9.7,19.5,0.497,0.0,0.1,0.0,3.7,5.0,0.738,3.4,7.5,11.0,1.6,1.8,0.8,1.7,1.7,2.8,3.9,23.1,-2.1,30,0,5,"2744,1610612750",2008
8,8,201154,Al Thornton,1610612746,LAC,25.0,71,16,55,0.225,37.4,6.6,14.8,0.446,0.3,1.1,0.253,3.3,4.4,0.754,1.7,3.5,5.2,1.5,1.8,0.8,0.9,1.0,3.2,3.8,16.8,-8.0,1,0,5,"201154,1610612746",2008
9,9,201169,Alando Tucker,1610612756,PHX,25.0,30,15,15,0.5,9.4,1.7,4.0,0.43,0.3,0.8,0.348,0.9,1.1,0.788,0.6,0.4,1.0,0.4,0.5,0.2,0.0,0.3,0.5,0.9,4.6,0.6,0,0,5,"201169,1610612756",2008
10,10,101165,Alex Acker,1610612746,LAC,26.0,25,4,21,0.16,8.0,1.2,3.0,0.395,0.3,0.8,0.35,0.2,0.4,0.5,0.3,0.6,1.0,0.5,0.3,0.2,0.2,0.1,0.4,0.4,2.9,0.0,0,0,5,"101165,1610612746",2008
11,11,201582,Alexis Ajinca,1610612766,CHA,21.0,31,11,20,0.355,5.9,0.8,2.2,0.362,0.0,0.1,0.0,0.6,0.9,0.714,0.3,0.7,1.0,0.1,0.4,0.2,0.2,0.2,1.1,0.6,2.3,0.2,0,0,5,"201582,1610612766",2008
12,12,947,Allen Iverson,1610612765,DET,34.0,57,25,32,0.439,36.7,6.1,14.6,0.417,0.5,1.7,0.283,4.8,6.1,0.781,0.5,2.5,3.0,5.0,2.6,1.5,0.1,0.7,1.5,5.5,17.5,-0.8,2,0,5,"947,1610612765",2008
13,13,2405,Amar'e Stoudemire,1610612756,PHX,26.0,53,30,23,0.566,36.8,7.6,14.1,0.539,0.1,0.1,0.429,6.1,7.3,0.835,2.2,5.9,8.1,2.0,2.8,0.9,1.1,1.1,3.1,5.5,21.4,2.2,16,0,5,"2405,1610612756",2008
14,14,101161,Amir Johnson,1610612765,DET,22.0,62,27,35,0.435,14.7,1.6,2.6,0.595,0.0,0.0,0.0,0.4,0.6,0.657,1.6,2.1,3.7,0.3,0.5,0.3,1.0,0.3,2.8,0.9,3.5,1.1,2,0,5,"101161,1610612765",2008
15,15,2760,Anderson Varejao,1610612739,CLE,26.0,81,65,16,0.802,28.5,3.3,6.2,0.536,0.0,0.0,0.0,1.9,3.1,0.616,2.0,5.1,7.2,1.0,1.0,0.9,0.8,0.4,3.0,3.0,8.6,5.4,9,0,5,"2760,1610612739",2008
16,16,101154,Andray Blatche,1610612764,WAS,22.0,71,17,54,0.239,24.0,4.2,8.9,0.471,0.1,0.3,0.238,1.6,2.3,0.704,1.8,3.5,5.3,1.7,1.6,0.7,1.0,0.8,3.0,1.9,10.0,-2.8,7,0,5,"101154,1610612764",2008
17,17,2810,Andre Brown,1610612766,CHA,28.0,4,2,2,0.5,10.3,0.3,1.8,0.143,0.0,0.0,0.0,0.5,0.5,1.0,1.8,1.3,3.0,0.3,1.3,0.3,0.0,0.3,2.3,0.5,1.0,-1.3,0,0,5,"2810,1610612766",2008
18,18,2738,Andre Iguodala,1610612755,PHI,25.0,82,41,41,0.5,39.9,6.6,14.0,0.473,1.0,3.2,0.307,4.6,6.4,0.724,1.1,4.6,5.7,5.3,2.7,1.6,0.4,0.5,1.9,4.8,18.8,1.5,11,0,5,"2738,1610612755",2008
19,19,1889,Andre Miller,1610612755,PHI,33.0,82,41,41,0.5,36.3,6.0,12.7,0.473,0.2,0.6,0.283,4.1,5.0,0.826,1.5,3.0,4.5,6.5,2.4,1.3,0.2,1.0,2.4,3.7,16.3,1.4,12,2,5,"1889,1610612755",2008
20,20,200745,Andrea Bargnani,1610612761,TOR,23.0,78,30,48,0.385,31.5,5.5,12.3,0.45,1.5,3.7,0.409,2.8,3.4,0.831,0.9,4.4,5.3,1.2,1.7,0.4,1.2,0.5,3.1,3.2,15.4,-3.2,6,0,5,"200745,1610612761",2008
