,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,2062,A.J. Guyton,1610612741,CHI,24.0,45,10,35,0.222,13.4,2.0,5.4,0.361,1.0,2.7,0.374,0.5,0.6,0.815,0.3,0.7,1.0,1.8,0.8,0.2,0.2,0.1,0.5,0.0,5.4,-1.0,0,0,5,"2062,1610612741",2001
1,1,243,Aaron McKie,1610612755,PHI,29.0,48,26,22,0.542,30.6,4.6,10.2,0.449,1.1,2.7,0.398,2.0,2.5,0.787,0.5,3.5,4.0,3.7,1.9,1.2,0.3,0.9,1.5,0.0,12.2,2.4,1,0,5,"243,1610612755",2001
2,2,1425,Aaron Williams,1610612751,NJN,30.0,82,52,30,0.634,18.9,2.8,5.4,0.526,0.0,0.0,0.0,1.6,2.3,0.699,1.4,2.7,4.1,0.9,1.0,0.4,0.9,0.5,2.6,0.0,7.2,1.5,0,0,5,"1425,1610612751",2001
3,3,1502,Adonal Foyle,1610612744,GSW,27.0,79,19,60,0.241,18.8,2.2,4.9,0.444,0.0,0.0,0.0,0.5,1.2,0.398,1.9,3.0,4.9,0.5,1.0,0.5,2.1,0.4,2.3,0.0,4.8,-2.6,3,0,5,"1502,1610612744",2001
4,4,1559,Adrian Griffin,1610612742,DAL,27.0,58,40,18,0.69,23.9,3.1,6.2,0.499,0.3,0.9,0.296,0.7,0.8,0.837,1.2,2.8,3.9,1.8,0.7,1.3,0.2,0.4,2.4,0.0,7.2,2.6,0,0,5,"1559,1610612742",2001
5,5,1733,Al Harrington,1610612754,IND,22.0,44,22,22,0.5,29.8,5.2,11.0,0.475,0.0,0.1,0.333,2.6,3.3,0.799,2.2,4.1,6.3,1.2,1.8,0.9,0.5,0.6,3.8,0.0,13.1,-1.2,5,0,5,"1733,1610612754",2001
6,6,673,Alan Henderson,1610612737,ATL,29.0,26,14,12,0.538,16.2,2.3,4.5,0.509,0.0,0.0,1.0,0.9,1.7,0.533,1.2,2.5,3.7,0.4,0.8,0.4,0.6,0.7,1.5,0.0,5.5,1.2,1,0,5,"673,1610612737",2001
7,7,275,Allan Houston,1610612752,NYK,31.0,77,28,49,0.364,37.9,7.4,16.9,0.437,1.8,4.5,0.393,3.8,4.4,0.87,0.5,2.8,3.3,2.5,2.2,0.7,0.1,0.6,2.4,0.0,20.4,-4.5,1,0,5,"275,1610612752",2001
8,8,947,Allen Iverson,1610612755,PHI,27.0,60,36,24,0.6,43.7,11.1,27.8,0.398,1.3,4.5,0.291,7.9,9.8,0.812,0.7,3.8,4.5,5.5,4.0,2.8,0.2,1.6,1.7,0.0,31.4,4.6,4,1,5,"947,1610612755",2001
9,9,297,Alonzo Mourning,1610612748,MIA,32.0,75,34,41,0.453,32.7,6.0,11.5,0.516,0.0,0.0,0.333,3.8,5.7,0.657,2.4,6.0,8.4,1.2,2.4,0.4,2.5,0.8,3.4,0.0,15.7,0.7,26,0,5,"297,1610612748",2001
10,10,2228,Alton Ford,1610612756,PHX,21.0,53,27,26,0.509,8.5,1.2,2.2,0.517,0.0,0.0,0.0,0.8,1.1,0.737,0.6,1.4,2.0,0.1,0.6,0.1,0.1,0.2,1.9,0.0,3.1,-1.6,0,0,5,"2228,1610612756",2001
11,11,2264,Alvin Jones,1610612755,PHI,23.0,23,17,6,0.739,5.4,0.3,0.9,0.4,0.0,0.0,0.0,0.4,0.9,0.5,0.6,1.0,1.6,0.1,0.5,0.1,0.4,0.0,1.5,0.0,1.1,-0.5,0,0,5,"2264,1610612755",2001
12,12,1541,Alvin Williams,1610612761,TOR,27.0,82,42,40,0.512,35.8,4.9,11.8,0.415,0.8,2.4,0.321,1.3,1.7,0.736,0.7,2.7,3.4,5.7,1.8,1.6,0.3,0.4,2.3,0.0,11.8,-0.4,2,0,5,"1541,1610612761",2001
13,13,1043,Amal McCaskill,1610612759,SAS,28.0,27,22,5,0.815,5.7,0.7,1.8,0.408,0.0,0.0,0.0,0.4,1.0,0.462,0.6,0.7,1.3,0.1,0.5,0.2,0.4,0.1,0.9,0.0,1.9,-2.1,0,0,5,"1043,1610612759",2001
14,14,1889,Andre Miller,1610612739,CLE,26.0,81,29,52,0.358,37.3,5.9,12.9,0.454,0.3,1.1,0.253,4.5,5.5,0.817,1.3,3.3,4.7,10.9,3.0,1.6,0.4,1.1,2.8,0.0,16.5,-1.3,43,3,5,"1889,1610612739",2001
15,15,1905,Andrei Kirilenko,1610612762,UTA,21.0,82,44,38,0.537,26.3,3.5,7.7,0.45,0.3,1.2,0.25,3.5,4.5,0.768,1.8,3.1,4.9,1.1,1.3,1.4,1.9,0.7,1.9,0.0,10.7,4.2,3,0,5,"1905,1610612762",2001
16,16,692,Andrew DeClercq,1610612753,ORL,29.0,61,31,30,0.508,10.4,1.1,2.4,0.45,0.0,0.0,0.0,0.5,0.8,0.56,1.2,1.5,2.7,0.4,0.6,0.4,0.4,0.3,2.1,0.0,2.7,-0.2,0,0,5,"692,1610612753",2001
17,17,358,Anfernee Hardaway,1610612756,PHX,30.0,80,35,45,0.438,30.8,4.9,11.6,0.418,0.3,1.0,0.277,2.0,2.4,0.81,1.2,3.2,4.4,4.1,2.4,1.5,0.4,0.8,2.3,0.0,12.0,-0.8,5,1,5,"358,1610612756",2001
18,18,1738,Ansu Sesay,1610612760,SEA,25.0,9,3,6,0.333,15.7,2.4,4.9,0.5,0.0,0.0,0.0,1.6,2.2,0.7,0.8,1.4,2.2,0.9,0.2,0.3,0.2,0.3,2.0,0.0,6.4,-2.9,0,0,5,"1738,1610612760",2001
