,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
208,208,1891,Jason Terry,1610612738,BOS,35.0,79,40,39,0.506,26.9,3.6,8.2,0.434,1.6,4.2,0.372,1.4,1.7,0.87,0.2,1.8,2.0,2.5,1.3,0.8,0.1,0.2,1.4,1.0,10.1,0.8,1,0,5,"1891,1610612738",2012
209,209,201574,Jason Thompson,1610612758,SAC,26.0,82,28,54,0.341,27.9,4.6,9.1,0.502,0.0,0.0,0.0,1.7,2.5,0.694,2.1,4.6,6.7,1.0,1.2,0.6,0.7,0.9,2.8,2.3,10.9,-2.9,13,0,5,"201574,1610612758",2012
210,210,202399,Jeff Adrien,1610612766,CHA,27.0,52,13,39,0.25,13.7,1.4,3.2,0.429,0.0,0.0,0.0,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.6,0.3,0.5,0.3,1.5,1.8,4.0,-1.8,1,0,5,"202399,1610612766",2012
211,211,201965,Jeff Ayres,1610612754,IND,26.0,37,24,13,0.649,10.0,1.6,3.4,0.484,0.1,0.1,0.5,0.6,0.6,0.913,0.8,2.0,2.8,0.4,0.6,0.2,0.3,0.3,1.2,0.6,3.9,1.5,1,0,5,"201965,1610612754",2012
212,212,201145,Jeff Green,1610612738,BOS,26.0,81,41,40,0.506,27.8,4.6,10.0,0.467,0.9,2.2,0.385,2.6,3.3,0.808,0.7,3.2,3.9,1.6,1.6,0.7,0.8,0.8,2.2,2.7,12.8,0.0,1,0,5,"201145,1610612738",2012
213,213,203106,Jeff Taylor,1610612766,CHA,24.0,77,18,59,0.234,19.6,2.2,5.2,0.431,0.7,2.0,0.344,1.0,1.3,0.728,0.7,1.3,1.9,0.8,0.6,0.6,0.2,0.5,1.8,0.9,6.1,-3.5,0,0,5,"203106,1610612766",2012
214,214,201952,Jeff Teague,1610612737,ATL,25.0,80,43,37,0.538,32.9,5.5,12.2,0.451,1.1,3.1,0.359,2.5,2.8,0.881,0.3,1.9,2.3,7.2,2.9,1.5,0.4,1.0,2.3,2.9,14.6,0.9,15,0,5,"201952,1610612737",2012
215,215,202379,Jeremy Evans,1610612762,UTA,25.0,37,20,17,0.541,5.8,0.7,1.2,0.614,0.0,0.0,0.0,0.6,0.9,0.636,0.7,0.9,1.6,0.3,0.2,0.2,0.4,0.0,0.8,0.8,2.0,0.6,0,0,5,"202379,1610612762",2012
216,216,203087,Jeremy Lamb,1610612760,OKC,21.0,23,20,3,0.87,6.4,1.0,3.0,0.353,0.4,1.3,0.3,0.6,0.6,1.0,0.2,0.6,0.8,0.2,0.3,0.1,0.1,0.3,0.6,0.3,3.1,-2.0,0,0,5,"203087,1610612760",2012
217,217,202391,Jeremy Lin,1610612745,HOU,24.0,82,45,37,0.549,32.2,4.8,10.9,0.441,1.1,3.1,0.339,2.6,3.4,0.785,0.4,2.6,3.0,6.1,2.9,1.6,0.4,0.8,2.5,3.2,13.4,1.6,9,0,5,"202391,1610612745",2012
218,218,202951,Jeremy Pargo,1610612755,PHI,27.0,39,9,30,0.231,16.8,2.5,6.4,0.396,0.6,1.9,0.338,1.1,1.6,0.677,0.2,1.1,1.3,2.4,1.3,0.3,0.1,0.7,1.2,1.3,6.8,-2.8,0,0,5,"202951,1610612755",2012
219,219,202719,Jeremy Tyler,1610612737,ATL,22.0,21,10,11,0.476,3.3,0.4,1.1,0.375,0.0,0.0,0.0,0.2,0.3,0.667,0.3,0.7,1.0,0.0,0.3,0.0,0.1,0.2,0.5,0.4,1.0,0.3,0,0,5,"202719,1610612737",2012
