,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
0,0,920,A.C. Green,1610612742,DAL,34.0,82,20,62,0.244,32.3,3.0,6.5,0.453,0.0,0.0,0.0,1.4,2.0,0.716,2.7,5.5,8.1,1.5,0.8,1.0,0.3,0.4,1.9,0.0,7.3,-4.6,14,0,5,"920,1610612742",1997
1,1,243,Aaron McKie,1610612755,PHI,25.0,81,34,47,0.42,22.4,1.7,4.7,0.365,0.1,0.8,0.19,0.5,0.7,0.764,0.7,2.1,2.9,2.2,0.9,1.2,0.2,0.4,2.0,0.0,4.1,0.3,0,0,5,"243,1610612755",1997
2,2,1425,Aaron Williams,1610612760,SEA,26.0,65,49,16,0.754,11.6,1.8,3.4,0.525,0.0,0.0,0.0,1.0,1.3,0.776,0.8,1.5,2.3,0.2,0.8,0.3,0.6,0.4,1.8,0.0,4.6,1.0,0,0,5,"1425,1610612760",1997
3,3,228,Adam Keefe,1610612762,UTA,28.0,80,61,19,0.763,25.6,2.9,5.3,0.54,0.0,0.0,0.0,2.0,2.5,0.81,2.2,3.2,5.5,1.1,0.9,0.7,0.3,0.7,2.2,0.0,7.8,5.3,5,0,5,"228,1610612762",1997
4,4,1502,Adonal Foyle,1610612744,GSW,23.0,55,9,46,0.164,12.0,1.3,3.1,0.406,0.0,0.0,0.0,0.5,1.1,0.435,1.3,2.0,3.3,0.3,0.9,0.2,0.9,0.3,1.7,0.0,3.0,-3.0,0,0,5,"1502,1610612744",1997
5,5,154,Adrian Caldwell,1610612742,DAL,31.0,1,1,0,1.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,"154,1610612742",1997
6,6,673,Alan Henderson,1610612737,ATL,25.0,69,42,27,0.609,29.1,5.3,10.9,0.485,0.0,0.1,0.5,3.7,5.6,0.652,2.9,3.5,6.4,1.1,1.6,0.6,0.5,1.1,2.5,0.0,14.3,1.3,12,0,5,"673,1610612737",1997
7,7,275,Allan Houston,1610612752,NYK,27.0,82,43,39,0.524,34.7,7.0,15.6,0.447,1.0,2.6,0.385,3.5,4.1,0.851,0.5,2.8,3.3,2.6,2.4,0.8,0.3,0.8,2.5,0.0,18.4,1.6,1,0,5,"275,1610612752",1997
8,8,947,Allen Iverson,1610612755,PHI,23.0,80,31,49,0.388,39.4,8.1,17.6,0.461,0.9,2.9,0.298,4.9,6.7,0.729,1.1,2.6,3.7,6.2,3.1,2.2,0.3,1.3,2.5,0.0,22.0,-1.2,12,0,5,"947,1610612755",1997
9,9,297,Alonzo Mourning,1610612748,MIA,28.0,58,39,19,0.672,33.4,7.0,12.6,0.551,0.0,0.0,0.0,5.3,8.0,0.665,3.3,6.3,9.6,0.9,3.1,0.7,2.2,1.0,3.6,0.1,19.3,7.4,24,0,5,"297,1610612748",1997
