,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,PACE,PIE
0,243,Aaron McKie,1610612747,LAL,33.0,14,9,5,0.643,8.7,0.2,0.9,0.25,0.0,0.1,0.0,0.1,0.1,0.5,0.2,1.2,1.4,0.8,0.1,0.4,0.0,0.0,0.5,0.1,0.5,-1.4,2005,0.833,0.167,0.857,0.571,0.0,0.0,0.143,0.0,0.286,0.667,0.333,0.0,0.0,0.667,0.333,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.333,0.1,0.5,0.167,1.8,3.6,0.49,77,209,-6.2,0.06,0.272,19,29,3,91.2,0.068
1,101223,Aaron Miles,1610612744,GSW,23.0,19,13,6,0.684,6.2,0.3,0.9,0.333,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.7,0.7,1.3,0.6,0.2,0.1,0.2,0.7,0.4,0.8,-0.2,2005,1.0,0.0,0.75,0.5,0.0,0.125,0.25,0.0,0.25,0.333,0.667,0.0,0.0,0.333,0.667,0.1,0.4,0.25,0.0,0.1,0.0,0.1,0.1,1.0,0.2,0.4,0.429,0.0,0.1,0.0,2.1,2.8,0.722,73,190,-3.9,0.113,0.405,20,30,4,96.64,0.064
2,1425,Aaron Williams,1610612740,NOK,34.0,48,21,27,0.438,16.5,1.9,3.7,0.517,0.0,0.0,0.0,0.8,1.2,0.69,1.3,2.4,3.8,0.4,0.6,0.4,0.4,0.4,2.9,1.0,4.6,-0.8,2005,1.0,0.0,0.82,0.162,0.0,0.027,0.18,0.131,0.658,0.692,0.308,0.0,0.0,0.692,0.308,1.3,2.1,0.621,0.2,0.6,0.375,0.1,0.4,0.25,0.3,0.7,0.452,0.0,0.0,0.0,5.0,8.7,0.571,81,235,-3.2,0.138,0.551,19,26,4,90.89,0.063
3,1502,Adonal Foyle,1610612744,GSW,31.0,77,32,45,0.416,23.7,2.0,3.9,0.507,0.0,0.0,0.0,0.5,0.9,0.612,1.9,3.6,5.5,0.4,1.0,0.6,1.6,0.3,2.8,1.1,4.5,-0.4,2005,1.0,0.0,0.881,0.087,0.0,0.041,0.119,0.151,0.794,0.691,0.309,0.0,0.0,0.691,0.309,1.4,2.6,0.551,0.4,0.9,0.47,0.1,0.2,0.333,0.1,0.2,0.333,0.0,0.0,0.0,8.5,15.0,0.564,82,270,-0.3,0.102,0.524,20,30,4,95.16,0.064
4,1559,Adrian Griffin,1610612742,DAL,31.0,52,40,12,0.769,23.9,1.9,3.9,0.48,0.0,0.0,0.0,0.8,1.0,0.774,1.4,2.9,4.4,1.7,0.8,1.0,0.2,0.3,2.2,0.8,4.6,3.6,2005,0.99,0.01,0.827,0.295,0.0,0.097,0.173,0.152,0.532,0.571,0.429,0.0,0.0,0.571,0.429,0.8,1.4,0.581,0.4,0.7,0.594,0.0,0.4,0.105,0.6,1.4,0.414,0.1,0.1,0.714,6.9,12.5,0.554,77,230,9.1,0.101,0.521,19,20,3,89.72,0.081
5,1733,Al Harrington,1610612737,ATL,26.0,76,24,52,0.316,36.6,7.3,16.1,0.452,0.9,2.5,0.346,3.2,4.6,0.694,1.7,5.1,6.9,3.1,2.6,1.1,0.2,0.9,4.0,3.8,18.6,-4.4,2005,0.843,0.157,0.687,0.276,0.14,0.089,0.172,0.167,0.411,0.491,0.509,0.985,0.015,0.55,0.45,3.5,6.0,0.58,0.3,1.2,0.258,0.7,2.0,0.36,1.6,3.7,0.431,0.8,2.1,0.373,14.1,23.3,0.605,81,245,-5.8,0.26,0.513,21,27,3,91.93,0.105
6,2744,Al Jefferson,1610612738,BOS,21.0,59,23,36,0.39,18.0,3.2,6.4,0.499,0.0,0.1,0.0,1.5,2.3,0.642,1.6,3.4,5.1,0.5,1.1,0.5,0.8,0.7,2.8,2.0,7.9,-1.8,2005,0.989,0.011,0.815,0.069,0.0,0.052,0.185,0.188,0.746,0.492,0.508,0.0,0.0,0.492,0.508,2.5,4.4,0.584,0.4,1.3,0.324,0.2,0.5,0.281,0.1,0.2,0.6,0.0,0.1,0.0,5.7,10.2,0.558,82,265,-4.1,0.22,0.53,18,30,3,92.24,0.113
7,101187,Alan Anderson,1610612766,CHA,23.0,36,7,29,0.194,15.7,2.1,5.0,0.414,0.7,1.6,0.414,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.9,0.3,0.1,0.5,1.3,1.1,5.8,0.2,2005,0.68,0.32,0.493,0.116,0.348,0.101,0.159,0.217,0.377,0.569,0.431,0.875,0.125,0.667,0.333,1.0,2.0,0.507,0.1,0.3,0.333,0.1,0.2,0.286,0.2,0.6,0.238,0.7,1.6,0.421,5.9,9.6,0.608,78,220,-0.3,0.182,0.52,21,24,4,96.29,0.066
8,673,Alan Henderson,1610612739,CLE,33.0,51,31,20,0.608,10.4,0.9,1.8,0.516,0.0,0.0,0.0,0.6,1.0,0.673,1.2,1.5,2.7,0.2,0.4,0.2,0.2,0.3,1.1,0.7,2.5,-0.9,2005,1.0,0.0,0.74,0.016,0.0,0.079,0.26,0.213,0.724,0.681,0.319,0.0,0.0,0.681,0.319,0.9,1.5,0.571,0.0,0.2,0.143,0.0,0.1,0.2,0.0,0.0,0.5,0.0,0.0,0.0,3.7,6.4,0.58,81,240,-3.4,0.118,0.564,21,24,3,91.33,0.078
9,101165,Alex Acker,1610612765,DET,23.0,5,3,2,0.6,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.8,1.0,0.8,0.8,0.2,0.0,0.4,0.8,0.2,1.8,-6.6,2005,0.688,0.313,0.667,0.444,0.333,0.556,0.0,0.0,0.222,0.333,0.667,0.0,1.0,0.25,0.75,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.3,1.3,0.2,0.3,0.7,0.5,4.0,4.6,0.87,77,185,-44.4,0.228,0.281,22,29,3,105.53,-0.012
