,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,PACE,PIE
0,920,A.C. Green,1610612748,MIA,37.0,82,50,32,0.61,17.2,1.8,4.0,0.444,0.0,0.1,0.0,1.0,1.4,0.712,1.3,2.5,3.8,0.5,0.5,0.4,0.1,0.4,1.5,0.0,4.5,1.3,2000,0.981,0.019,0.785,0.436,0.0,0.106,0.215,0.199,0.349,0.764,0.236,0.0,0.0,0.764,0.236,0.7,1.3,0.571,0.1,0.2,0.222,0.1,0.4,0.226,0.8,1.8,0.425,0.1,0.3,0.55,4.9,7.8,0.63,81.0,225,3.3,0.141,0.492,23,28,4,89.62,0.093
1,2062,A.J. Guyton,1610612741,CHI,23.0,33,6,27,0.182,19.0,2.4,5.8,0.406,0.8,2.1,0.391,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.7,0.3,0.2,0.1,1.1,0.0,6.0,-4.4,2000,0.641,0.359,0.515,0.374,0.409,0.035,0.076,0.207,0.141,0.608,0.392,0.852,0.148,0.692,0.308,0.3,0.5,0.529,0.2,0.2,0.833,0.2,0.4,0.385,0.7,1.8,0.415,0.7,2.2,0.323,6.6,9.7,0.682,73.0,180,-12.4,0.169,0.495,22,26,3,90.06,0.071
2,243,Aaron McKie,1610612755,PHI,28.0,76,51,25,0.671,31.5,4.4,9.4,0.473,0.7,2.2,0.312,2.0,2.6,0.768,0.4,3.7,4.1,5.0,2.7,1.4,0.1,0.7,2.3,0.0,11.6,4.5,2000,0.762,0.238,0.649,0.269,0.181,0.183,0.17,0.177,0.38,0.481,0.519,0.943,0.057,0.553,0.447,1.7,2.5,0.684,0.4,0.9,0.423,0.6,1.3,0.457,0.8,2.0,0.401,0.7,1.5,0.469,8.6,14.6,0.593,77.0,209,6.8,0.19,0.549,22,29,5,93.12,0.119
3,1425,Aaron Williams,1610612751,NJN,29.0,82,26,56,0.317,28.5,3.6,7.9,0.457,0.0,0.0,0.0,3.0,3.8,0.787,2.6,4.6,7.2,1.1,1.6,0.7,1.4,0.9,3.9,0.0,10.2,-4.6,2000,0.997,0.003,0.709,0.105,0.0,0.06,0.291,0.169,0.604,0.623,0.377,0.0,0.0,0.623,0.377,2.4,4.3,0.563,0.6,1.7,0.369,0.3,0.8,0.324,0.3,1.0,0.278,0.0,0.1,0.167,8.5,14.5,0.587,81.0,225,-9.1,0.18,0.533,19,21,2,93.52,0.095
4,228,Adam Keefe,1610612744,GSW,31.0,67,14,53,0.209,12.6,1.0,2.4,0.403,0.0,0.0,0.333,0.6,0.9,0.619,1.3,1.8,3.1,0.5,0.6,0.4,0.3,0.3,1.5,0.0,2.5,-2.6,2000,0.981,0.019,0.75,0.226,0.018,0.131,0.232,0.25,0.524,0.683,0.317,1.0,0.0,0.688,0.313,0.6,1.1,0.539,0.1,0.2,0.333,0.1,0.4,0.261,0.1,0.5,0.194,0.1,0.3,0.438,4.1,7.1,0.582,81.0,230,-9.2,0.116,0.45,20,27,4,95.05,0.056
5,1502,Adonal Foyle,1610612744,GSW,26.0,58,8,50,0.138,25.2,2.7,6.5,0.416,0.0,0.0,0.0,0.5,1.2,0.441,2.7,4.3,7.0,0.8,1.4,0.5,2.7,0.6,2.3,0.0,5.9,-5.5,2000,1.0,0.0,0.912,0.111,0.0,0.088,0.088,0.149,0.801,0.59,0.41,0.0,0.0,0.59,0.41,1.6,3.4,0.462,0.8,2.2,0.354,0.2,0.6,0.333,0.1,0.3,0.5,0.0,0.0,1.0,9.3,16.3,0.574,82.0,250,-11.7,0.139,0.422,20,27,4,96.19,0.075
6,1559,Adrian Griffin,1610612738,BOS,26.0,44,16,28,0.364,8.5,0.8,2.2,0.34,0.2,0.6,0.346,0.4,0.5,0.75,0.6,1.4,2.0,0.6,0.4,0.4,0.1,0.2,1.0,0.0,2.1,-1.0,2000,0.732,0.268,0.516,0.129,0.29,0.086,0.194,0.097,0.387,0.333,0.667,0.889,0.111,0.485,0.515,0.3,0.7,0.419,0.1,0.3,0.364,0.1,0.2,0.286,0.1,0.5,0.167,0.2,0.5,0.368,2.7,4.3,0.633,77.0,215,-4.9,0.149,0.432,18,26,3,94.05,0.077
7,1733,Al Harrington,1610612754,IND,21.0,78,39,39,0.5,24.3,3.1,7.0,0.444,0.0,0.1,0.143,1.3,2.0,0.656,1.5,3.4,4.9,1.7,1.9,0.8,0.2,0.6,2.9,0.0,7.5,-0.3,2000,0.987,0.013,0.819,0.314,0.005,0.157,0.176,0.16,0.505,0.675,0.325,0.0,1.0,0.672,0.328,1.6,3.0,0.521,0.4,1.1,0.349,0.5,1.1,0.458,0.5,1.5,0.368,0.1,0.3,0.36,6.5,12.4,0.521,81.0,254,0.5,0.187,0.479,21,31,4,92.14,0.069
8,673,Alan Henderson,1610612737,ATL,28.0,73,20,53,0.274,24.8,4.1,9.2,0.444,0.0,0.0,0.0,2.4,3.7,0.638,2.5,3.1,5.6,0.7,1.7,0.7,0.4,1.1,2.2,0.0,10.5,-3.6,2000,0.999,0.001,0.775,0.159,0.0,0.101,0.225,0.138,0.616,0.537,0.463,0.0,0.0,0.537,0.463,2.6,4.6,0.56,0.7,2.2,0.329,0.5,1.6,0.319,0.3,0.8,0.361,0.0,0.0,0.0,7.9,13.1,0.605,81.0,235,-8.8,0.224,0.487,23,24,5,94.79,0.081
9,275,Allan Houston,1610612752,NYK,30.0,78,45,33,0.577,36.6,6.9,15.5,0.449,1.2,3.2,0.381,3.6,3.9,0.909,0.3,3.4,3.6,2.2,2.1,0.7,0.1,0.8,2.4,0.0,18.7,1.5,2000,0.791,0.209,0.611,0.47,0.197,0.053,0.191,0.147,0.141,0.437,0.563,0.75,0.25,0.493,0.507,0.8,1.8,0.436,0.5,1.4,0.375,1.2,2.6,0.48,2.4,5.1,0.472,1.5,3.1,0.465,9.2,15.9,0.581,78.0,200,2.2,0.256,0.543,22,29,3,89.33,0.117
