,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,NET_RATING,USG_PCT,TS_PCT,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,PACE,PIE
0,920,A.C. Green,1610612747.0,LAL,36.0,82,67,15,0.817,23.5,2.1,4.7,0.447,0.0,0.0,0.25,0.8,1.2,0.695,2.0,4.0,5.9,1.0,0.6,0.6,0.2,0.3,1.5,0.2,5.0,4.0,1999,0.99,0.01,0.833,0.378,0.007,0.104,0.16,0.172,0.455,0.686,0.314,1.0,0.0,0.688,0.312,1.0,1.8,0.527,0.1,0.3,0.333,0.3,0.7,0.361,0.7,1.7,0.424,0.0,0.1,0.444,6.7,11.6,0.579,81.0,225.0,8.1,0.111,0.482,22,27,4,94.51,0.088
1,1920,A.J. Bramlett,1610612739.0,CLE,23.0,8,3,5,0.375,7.6,0.5,2.6,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,2.8,0.0,0.4,0.1,0.0,0.3,1.6,0.3,1.0,-5.3,1999,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,2.0,0.25,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.3,0.769,82.0,227.0,-32.6,0.146,0.19,24,23,5,103.89,-0.047
2,243,Aaron McKie,1610612755.0,PHI,27.0,82,49,33,0.598,23.8,3.0,7.2,0.411,0.5,1.5,0.364,1.5,1.8,0.829,0.6,2.4,3.0,2.9,1.4,1.3,0.2,0.5,2.4,0.1,8.0,0.6,1999,0.796,0.204,0.613,0.41,0.202,0.136,0.185,0.153,0.202,0.58,0.42,1.0,0.0,0.656,0.344,0.7,1.2,0.576,0.1,0.6,0.261,0.4,1.1,0.33,1.0,2.3,0.417,0.6,1.5,0.407,7.1,11.6,0.607,77.0,209.0,0.1,0.172,0.497,20,31,5,95.41,0.099
3,1425,Aaron Williams,1610612764.0,WAS,28.0,81,29,52,0.358,19.1,2.9,5.6,0.522,0.0,0.0,0.0,1.8,2.5,0.726,2.0,3.1,5.0,0.7,1.0,0.5,1.1,0.6,2.9,0.2,7.6,0.4,1999,0.993,0.007,0.763,0.084,0.0,0.057,0.237,0.148,0.679,0.643,0.357,0.0,0.0,0.643,0.357,2.3,3.6,0.643,0.3,1.2,0.253,0.1,0.4,0.344,0.1,0.4,0.4,0.0,0.0,0.667,5.8,9.7,0.602,81.0,225.0,2.2,0.18,0.572,22,23,7,94.32,0.11
4,228,Adam Keefe,1610612762.0,UTA,30.0,62,41,21,0.661,9.8,0.9,2.1,0.408,0.0,0.0,0.0,0.5,0.6,0.806,0.7,1.5,2.2,0.5,0.7,0.3,0.2,0.3,1.5,0.1,2.2,-0.6,1999,0.992,0.008,0.785,0.148,0.0,0.133,0.215,0.237,0.637,0.736,0.264,0.0,0.0,0.736,0.264,0.6,1.0,0.585,0.0,0.3,0.133,0.1,0.5,0.24,0.1,0.4,0.318,0.0,0.1,0.0,2.5,4.4,0.579,81.0,230.0,-3.3,0.149,0.463,19,28,4,90.46,0.049
5,1502,Adonal Foyle,1610612744.0,GSW,25.0,76,16,60,0.211,21.7,2.5,5.0,0.508,0.0,0.0,0.0,0.4,1.2,0.378,2.3,3.3,5.6,0.6,0.9,0.3,1.8,0.4,2.9,0.2,5.5,-4.6,1999,1.0,0.0,0.919,0.043,0.0,0.14,0.081,0.126,0.876,0.637,0.363,0.0,0.0,0.637,0.363,1.8,3.3,0.552,0.7,1.4,0.475,0.1,0.3,0.208,0.0,0.1,0.429,0.0,0.0,0.0,8.6,14.5,0.589,82.0,250.0,-9.8,0.127,0.5,20,27,2,97.52,0.067
6,1559,Adrian Griffin,1610612738.0,BOS,25.0,72,29,43,0.403,26.8,2.4,5.7,0.424,0.2,0.8,0.281,1.7,2.2,0.753,1.8,3.4,5.2,2.5,1.3,1.6,0.2,0.5,3.1,0.2,6.7,-0.4,1999,0.862,0.138,0.656,0.181,0.099,0.101,0.245,0.194,0.474,0.434,0.566,1.0,0.0,0.486,0.514,1.5,2.7,0.552,0.1,0.5,0.188,0.1,0.5,0.273,0.5,1.2,0.372,0.3,0.8,0.37,9.7,15.6,0.621,77.0,215.0,-1.1,0.129,0.503,22,24,2,96.83,0.082
7,1733,Al Harrington,1610612754.0,IND,20.0,50,34,16,0.68,17.1,2.4,5.3,0.458,0.2,0.7,0.235,1.6,2.2,0.703,0.9,2.2,3.2,0.8,1.3,0.5,0.2,0.5,2.6,0.3,6.6,1.8,1999,0.871,0.129,0.689,0.177,0.073,0.192,0.238,0.204,0.512,0.434,0.566,1.0,0.0,0.471,0.529,1.3,2.2,0.604,0.4,1.0,0.36,0.3,0.7,0.424,0.2,0.5,0.423,0.2,0.7,0.257,5.1,8.3,0.612,81.0,254.0,6.0,0.201,0.524,21,29,4,95.92,0.062
8,673,Alan Henderson,1610612737.0,ATL,27.0,82,28,54,0.341,33.9,5.2,11.3,0.461,0.0,0.1,0.1,2.7,4.1,0.671,3.2,3.7,7.0,0.9,1.7,1.0,0.7,1.1,2.8,0.2,13.2,-4.7,1999,0.989,0.011,0.79,0.203,0.003,0.131,0.207,0.152,0.587,0.556,0.444,1.0,0.0,0.557,0.443,3.3,5.3,0.619,0.8,2.4,0.321,0.7,2.3,0.33,0.4,1.2,0.316,0.0,0.1,0.3,11.8,20.0,0.589,81.0,235.0,-6.7,0.194,0.503,24,25,5,94.38,0.079
9,1893,Aleksandar Radojevic,1610612761.0,TOR,23.0,3,0,3,0.0,8.1,0.7,2.3,0.286,0.0,0.0,0.0,1.0,2.0,0.5,0.7,2.0,2.7,0.3,1.7,0.7,0.3,0.3,1.7,0.3,2.3,-2.7,1999,1.0,0.0,0.571,0.0,0.0,0.286,0.429,0.286,0.571,0.5,0.5,0.0,0.0,0.5,0.5,0.7,1.7,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.3,3.7,0.364,87.0,245.0,-22.1,0.228,0.363,18,28,2,108.38,-0.01
