,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,201985,A.J. Price,1610612754,IND,23.0,0.8,1.3,0.62,0.1,0.5,0.259,0.2,0.5,0.423,0.4,0.9,0.438,0.5,1.6,0.333,2009
1,201166,Aaron Brooks,1610612745,HOU,25.0,2.1,4.3,0.482,0.6,1.3,0.495,0.6,1.3,0.448,0.8,2.0,0.409,1.5,3.7,0.401,2009
2,201189,Aaron Gray,1610612740,NOH,25.0,0.9,1.7,0.566,0.3,0.6,0.5,0.1,0.4,0.182,0.1,0.1,1.0,0.0,0.0,0.0,2009
3,201151,Acie Law,1610612741,CHI,25.0,1.0,1.7,0.578,0.0,0.3,0.0,0.1,0.1,1.0,0.0,0.2,0.25,0.2,0.4,0.556,2009
4,200747,Adam Morrison,1610612747,LAL,25.0,0.3,0.4,0.692,0.2,0.5,0.429,0.1,0.4,0.3,0.2,0.6,0.368,0.1,0.7,0.15,2009
5,1733,Al Harrington,1610612752,NYK,30.0,3.1,5.1,0.602,0.2,0.8,0.279,0.3,0.8,0.4,0.5,1.5,0.349,1.4,3.5,0.394,2009
6,201143,Al Horford,1610612737,ATL,24.0,3.2,4.6,0.692,1.0,2.4,0.435,0.5,1.3,0.383,1.0,2.1,0.488,0.0,0.1,0.4,2009
7,2744,Al Jefferson,1610612750,MIN,25.0,3.4,5.1,0.678,1.9,4.0,0.485,1.3,3.6,0.372,0.6,2.0,0.314,0.0,0.1,0.286,2009
8,201154,Al Thornton,1610612764,WAS,26.0,2.3,3.6,0.625,0.3,0.6,0.422,0.4,1.1,0.372,0.9,2.4,0.359,0.4,1.0,0.387,2009
9,201169,Alando Tucker,1610612750,MIN,26.0,0.7,1.2,0.611,0.2,0.4,0.4,0.0,0.1,0.0,0.2,0.3,0.75,0.1,0.5,0.143,2009
10,201582,Alexis Ajinca,1610612766,CHA,22.0,0.7,0.7,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.2,0.5,0.333,0.0,0.0,0.0,2009
11,947,Allen Iverson,1610612755,PHI,35.0,1.1,2.4,0.471,0.3,1.1,0.25,0.8,1.6,0.457,2.0,4.5,0.449,0.5,1.0,0.519,2009
12,202087,Alonzo Gee,1610612764,WAS,23.0,1.6,3.5,0.474,0.1,0.4,0.25,0.2,0.4,0.5,0.0,0.3,0.0,0.4,0.5,0.667,2009
13,2405,Amar'e Stoudemire,1610612756,PHX,27.0,4.9,7.3,0.667,1.7,3.4,0.504,0.5,1.1,0.413,1.4,3.1,0.436,0.2,0.4,0.444,2009
