,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,243,Aaron McKie,1610612747,LAL,34.0,0.2,0.2,1.0,0.1,0.3,0.5,0.0,0.1,0.0,0.6,0.8,0.75,0.2,0.4,0.5,2006
1,1425,Aaron Williams,1610612746,LAC,35.0,0.4,0.6,0.708,0.1,0.3,0.455,0.1,0.2,0.333,0.1,0.3,0.5,0.0,0.0,0.0,2006
2,200747,Adam Morrison,1610612766,CHA,22.0,0.8,1.7,0.496,0.7,1.9,0.381,0.5,1.3,0.423,0.8,2.8,0.298,1.0,2.6,0.392,2006
3,1502,Adonal Foyle,1610612744,GSW,32.0,0.8,1.2,0.632,0.3,0.5,0.588,0.1,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,2006
4,1559,Adrian Griffin,1610612741,CHI,32.0,0.5,0.9,0.52,0.3,0.4,0.579,0.2,0.4,0.5,0.3,0.7,0.455,0.0,0.1,0.2,2006
5,1733,Al Harrington,1610612744,GSW,27.0,3.0,5.4,0.556,0.2,0.8,0.258,0.4,1.1,0.321,0.9,2.3,0.404,1.1,2.4,0.462,2006
6,2744,Al Jefferson,1610612738,BOS,22.0,4.0,6.8,0.59,1.8,3.8,0.481,0.4,1.2,0.325,0.4,1.0,0.362,0.0,0.0,0.0,2006
7,101187,Alan Anderson,1610612766,CHA,24.0,1.1,1.9,0.594,0.1,0.3,0.4,0.1,0.2,0.667,0.5,0.9,0.533,0.4,1.2,0.3,2006
8,673,Alan Henderson,1610612755,PHI,34.0,1.0,1.5,0.684,0.1,0.3,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
9,200792,Alexander Johnson,1610612763,MEM,24.0,1.2,1.9,0.625,0.2,0.4,0.421,0.2,0.5,0.4,0.1,0.2,0.3,0.0,0.1,0.0,2006
10,200810,Allan Ray,1610612738,BOS,23.0,0.5,1.4,0.391,0.0,0.1,0.2,0.1,0.2,0.286,0.2,0.7,0.3,1.1,2.7,0.425,2006
11,947,Allen Iverson,1610612743,DEN,32.0,3.4,5.9,0.576,0.9,2.3,0.395,1.4,3.1,0.46,1.9,5.0,0.378,0.8,2.4,0.333,2006
12,297,Alonzo Mourning,1610612748,MIA,37.0,2.2,3.3,0.665,0.8,1.8,0.46,0.1,0.3,0.238,0.0,0.2,0.083,0.0,0.0,0.0,2006
13,1541,Alvin Williams,1610612746,LAC,32.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2006
14,2405,Amar'e Stoudemire,1610612756,PHX,24.0,4.9,7.3,0.675,1.0,2.3,0.444,0.3,0.9,0.373,1.1,2.2,0.492,0.0,0.1,0.273,2006
15,101161,Amir Johnson,1610612765,DET,20.0,2.3,3.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2006
