,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,471,,,,,0.5,1.1,0.467,0.1,0.5,0.25,0.1,0.4,0.143,0.2,0.5,0.333,0.2,0.9,0.278,1996
1,920,A.C. Green,1610612742.0,DAL,33.0,1.6,2.8,0.579,0.1,0.4,0.333,0.3,0.7,0.455,0.7,1.6,0.418,0.1,0.3,0.238,1996
2,243,Aaron McKie,1610612765.0,DET,24.0,0.9,1.6,0.558,0.0,0.4,0.125,0.1,0.5,0.2,0.3,0.7,0.396,0.5,1.2,0.427,1996
3,1425,Aaron Williams,1610612763.0,VAN,25.0,2.3,3.5,0.667,0.2,0.7,0.304,0.0,0.2,0.143,0.0,0.1,0.333,0.0,0.0,0.0,1996
4,768,Acie Earl,1610612749.0,MIL,27.0,0.7,1.4,0.47,0.7,1.3,0.491,0.2,1.0,0.19,0.0,0.3,0.167,0.0,0.1,0.0,1996
5,228,Adam Keefe,1610612762.0,UTA,27.0,1.0,1.7,0.57,0.1,0.3,0.353,0.1,0.3,0.471,0.1,0.3,0.375,0.0,0.0,0.5,1996
6,154,Adrian Caldwell,1610612755.0,PHI,30.0,0.8,1.6,0.528,0.0,0.4,0.083,0.0,0.1,0.0,0.0,0.1,0.333,0.0,0.0,0.0,1996
7,673,Alan Henderson,1610612737.0,ATL,24.0,2.1,3.5,0.61,0.1,0.5,0.214,0.2,0.9,0.269,0.1,0.6,0.176,0.0,0.0,0.0,1996
8,1059,Aleksandar Djordjevic,1610612757.0,POR,29.0,0.1,0.3,0.5,0.0,0.4,0.0,0.1,0.1,1.0,0.0,0.3,0.0,0.8,1.0,0.75,1996
9,275,Allan Houston,1610612752.0,NYK,26.0,1.1,2.5,0.465,0.4,0.9,0.459,0.7,1.8,0.393,1.1,2.6,0.44,1.9,4.7,0.399,1996
10,947,Allen Iverson,1610612755.0,PHI,22.0,4.2,8.8,0.482,0.4,1.0,0.446,0.5,1.6,0.325,0.9,2.3,0.397,1.8,4.4,0.402,1996
11,297,Alonzo Mourning,1610612748.0,MIA,27.0,4.4,6.9,0.633,1.3,3.0,0.415,0.8,2.0,0.411,0.7,1.4,0.511,0.0,0.1,0.25,1996
12,175,Alton Lister,1610612738.0,BOS,38.0,0.4,1.0,0.389,0.1,0.1,0.5,0.1,0.2,0.5,0.1,0.2,0.455,0.0,0.0,0.0,1996
13,1043,Amal McCaskill,1610612753.0,ORL,23.0,0.3,0.7,0.417,0.2,0.3,0.667,0.1,0.3,0.25,0.1,0.7,0.2,0.0,0.1,0.0,1996
14,692,Andrew DeClercq,1610612744.0,GSW,24.0,1.7,3.1,0.569,0.1,0.4,0.36,0.1,0.3,0.278,0.1,0.2,0.333,0.0,0.0,0.0,1996
15,457,Andrew Lang,1610612749.0,MIL,31.0,1.4,2.6,0.537,0.5,0.9,0.479,0.2,0.8,0.25,0.1,0.4,0.368,0.0,0.0,1.0,1996
16,358,Anfernee Hardaway,1610612753.0,ORL,25.0,3.8,6.3,0.595,0.8,1.9,0.42,0.4,1.3,0.321,0.7,1.6,0.402,1.4,4.3,0.323,1996
17,924,Anthony Goldwire,1610612743.0,DEN,25.0,0.7,2.0,0.345,0.1,0.2,0.333,0.0,0.2,0.154,0.3,0.7,0.372,1.0,2.2,0.451,1996
18,193,Anthony Mason,1610612766.0,CHH,30.0,4.0,7.7,0.514,0.5,1.1,0.438,0.8,1.4,0.58,0.6,1.0,0.618,0.0,0.1,0.75,1996
19,292,Anthony Miller,1610612737.0,ATL,25.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
20,324,Anthony Peeler,1610612763.0,VAN,27.0,1.2,2.5,0.467,0.3,0.8,0.386,0.4,1.2,0.36,1.8,4.3,0.415,1.8,4.9,0.37,1996
21,156,Antoine Carr,1610612762.0,UTA,35.0,1.1,2.0,0.557,0.5,1.2,0.441,0.5,1.1,0.437,0.9,1.9,0.459,0.1,0.2,0.471,1996
22,952,Antoine Walker,1610612738.0,BOS,20.0,5.0,11.1,0.452,0.5,1.3,0.392,0.4,1.1,0.374,0.4,1.0,0.383,0.7,1.8,0.367,1996
23,213,Antonio Davis,1610612754.0,IND,28.0,2.5,4.7,0.537,0.4,0.8,0.426,0.5,1.1,0.398,0.4,0.9,0.427,0.0,0.2,0.067,1996
24,176,Antonio Harvey,1610612760.0,SEA,26.0,0.5,1.2,0.429,0.0,0.5,0.0,0.4,0.4,1.0,0.0,0.3,0.0,0.0,0.0,0.0,1996
25,226,Antonio Lang,1610612739.0,CLE,25.0,0.7,1.4,0.489,0.0,0.2,0.222,0.1,0.3,0.412,0.2,0.6,0.395,0.0,0.1,0.0,1996
26,686,Antonio McDyess,1610612743.0,DEN,22.0,3.1,5.5,0.566,1.2,2.5,0.473,1.4,3.4,0.4,1.4,3.6,0.402,0.1,0.6,0.229,1996
27,288,Armen Gilliam,1610612749.0,MIL,33.0,1.6,2.7,0.605,0.6,1.4,0.402,0.5,1.3,0.355,0.4,1.1,0.36,0.0,0.0,1.0,1996
28,717,Arvydas Sabonis,1610612757.0,POR,32.0,3.0,5.3,0.566,0.8,1.8,0.445,0.1,0.3,0.391,0.1,0.3,0.588,0.7,1.9,0.372,1996
29,732,Ashraf Amaya,1610612764.0,WAS,25.0,0.3,0.9,0.37,0.1,0.4,0.125,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1996
30,422,Avery Johnson,1610612759.0,SAS,32.0,2.4,4.5,0.529,0.2,0.5,0.462,0.3,0.6,0.429,1.2,2.8,0.441,0.2,0.5,0.342,1996
31,769,B.J. Armstrong,1610612744.0,GSW,29.0,1.0,1.4,0.7,0.3,0.6,0.536,0.3,0.7,0.469,0.8,1.9,0.426,0.6,2.0,0.296,1996
32,989,Ben Davis,1610612756.0,PHX,24.0,0.4,0.8,0.438,0.1,0.4,0.2,0.1,0.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1996
33,1112,Ben Wallace,1610612764.0,WAS,22.0,0.4,1.1,0.359,0.1,0.3,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
34,104,Benoit Benjamin,1610612761.0,TOR,32.0,0.8,2.0,0.375,0.3,0.5,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.0,0.0,0.0,1996
35,82,Bill Wennington,1610612741.0,CHI,34.0,0.4,1.0,0.373,0.1,0.3,0.5,0.6,1.2,0.522,0.9,1.6,0.553,0.0,0.0,1.0,1996
36,182,Billy Owens,1610612758.0,SAC,28.0,2.3,4.1,0.549,0.8,1.6,0.5,0.3,0.8,0.392,0.6,1.7,0.358,0.5,1.4,0.383,1996
37,902,Bimbo Coles,1610612744.0,GSW,29.0,0.9,1.8,0.516,0.3,0.6,0.433,0.2,0.6,0.345,0.4,1.0,0.34,0.6,2.0,0.304,1996
38,183,Bison Dele,1610612741.0,CHI,28.0,1.3,3.3,0.4,1.0,1.4,0.692,0.6,1.7,0.333,0.0,0.6,0.0,0.0,0.0,0.0,1996
39,898,Blue Edwards,1610612763.0,VAN,31.0,1.0,2.0,0.525,0.1,0.3,0.25,0.2,0.7,0.326,1.0,2.6,0.381,0.6,1.7,0.366,1996
40,448,Bo Outlaw,1610612746.0,LAC,26.0,2.7,3.9,0.692,0.2,0.5,0.41,0.1,0.3,0.357,0.1,0.2,0.3,0.0,0.1,0.25,1996
41,682,Bob Sura,1610612739.0,CLE,24.0,2.2,4.1,0.541,0.1,0.3,0.174,0.0,0.2,0.158,0.1,0.5,0.238,0.6,1.8,0.331,1996
42,310,Bobby Hurley,1610612758.0,SAC,26.0,0.1,0.4,0.333,0.0,0.1,0.0,0.1,0.2,0.222,0.5,1.0,0.477,0.4,1.0,0.364,1996
43,184,Bobby Phills,1610612739.0,CLE,27.0,1.7,3.2,0.514,0.4,0.9,0.407,0.4,1.1,0.387,0.9,2.3,0.405,1.4,3.5,0.394,1996
44,38,Brad Lohaus,1610612761.0,TOR,32.0,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.8,0.0,0.4,1.4,0.286,1996
45,699,Brent Barry,1610612746.0,LAC,25.0,0.8,1.5,0.511,0.2,0.5,0.462,0.2,0.5,0.429,0.4,0.8,0.478,0.9,2.7,0.325,1996
46,85,Brent Price,1610612745.0,HOU,28.0,0.7,1.1,0.607,0.0,0.2,0.25,0.1,0.4,0.3,0.3,0.4,0.6,0.7,2.0,0.327,1996
47,1064,Brent Scott,1610612754.0,IND,26.0,0.4,0.8,0.538,0.0,0.0,0.0,0.1,0.3,0.333,0.0,0.1,0.0,0.0,0.0,0.0,1996
48,1136,Brett Szabo,1610612738.0,BOS,29.0,0.4,1.1,0.388,0.2,0.3,0.583,0.3,0.4,0.609,0.0,0.1,0.4,0.0,0.0,0.0,1996
49,967,Brian Evans,1610612753.0,ORL,23.0,0.1,0.2,0.667,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.5,0.8,0.545,1996
50,258,Brian Grant,1610612758.0,SAC,25.0,2.0,3.8,0.533,0.8,2.2,0.377,0.5,1.2,0.393,0.5,1.4,0.353,0.0,0.1,0.0,1996
51,216,Brian Shaw,1610612753.0,ORL,31.0,0.9,2.0,0.471,0.3,0.9,0.333,0.2,0.6,0.28,0.2,0.6,0.326,0.8,2.4,0.339,1996
52,240,Brooks Thompson,1610612743.0,DEN,26.0,0.2,0.7,0.311,0.1,0.2,0.455,0.2,0.5,0.536,0.5,1.1,0.417,1.3,3.3,0.395,1996
53,1477,Bruce Bowen,1610612748.0,MIA,26.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1996
54,735,Bryant Reeves,1610612763.0,VAN,24.0,3.3,5.8,0.57,1.3,2.7,0.476,1.3,3.2,0.422,0.7,1.8,0.375,0.0,0.1,0.182,1996
55,179,Bryant Stith,1610612743.0,DEN,26.0,1.4,3.1,0.453,0.5,1.2,0.45,0.6,1.4,0.452,0.8,2.1,0.383,1.4,3.6,0.392,1996
56,935,Bryon Russell,1610612762.0,UTA,26.0,1.8,2.9,0.626,0.1,0.3,0.333,0.1,0.4,0.393,0.1,0.6,0.25,1.4,3.2,0.425,1996
57,433,Buck Williams,1610612752.0,NYK,37.0,1.8,3.2,0.579,0.3,0.7,0.423,0.1,0.3,0.304,0.1,0.2,0.643,0.0,0.0,0.5,1996
58,2,Byron Scott,1610612747.0,LAL,36.0,0.6,0.9,0.635,0.1,0.1,0.5,0.1,0.4,0.313,0.3,1.0,0.351,0.9,2.1,0.412,1996
59,384,Calbert Cheaney,1610612764.0,WAS,25.0,2.1,3.4,0.623,0.5,0.9,0.507,0.7,1.6,0.416,1.3,2.8,0.462,0.1,0.4,0.303,1996
60,61,Carl Herrera,1610612759.0,SAS,30.0,1.6,3.5,0.451,0.6,1.6,0.368,0.6,1.3,0.485,0.6,1.4,0.417,0.0,0.1,0.333,1996
61,1063,Carl Thomas,1610612739.0,CLE,27.0,0.2,0.2,1.0,0.2,0.2,1.0,0.1,0.2,0.5,0.1,0.3,0.2,0.1,0.7,0.167,1996
62,435,Carlos Rogers,1610612761.0,TOR,26.0,2.7,3.9,0.683,0.4,1.0,0.357,0.2,0.6,0.281,0.1,0.4,0.273,0.5,1.3,0.37,1996
63,76,Cedric Ceballos,1610612756.0,PHX,27.0,4.1,7.1,0.569,0.2,0.7,0.313,0.3,0.9,0.318,0.5,1.6,0.338,0.5,2.0,0.271,1996
64,787,Charles Barkley,1610612745.0,HOU,34.0,4.2,6.5,0.649,0.4,1.1,0.393,0.3,1.0,0.302,0.3,0.6,0.438,1.0,3.5,0.287,1996
65,279,Charles Jones,1610612745.0,HOU,40.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1996
66,891,Charles Oakley,1610612752.0,NYK,33.0,2.1,3.6,0.569,0.1,0.2,0.278,0.3,0.8,0.365,1.6,3.5,0.468,0.2,0.5,0.349,1996
67,293,Charles Smith,1610612759.0,SAS,31.0,0.5,0.9,0.588,0.2,0.3,0.5,0.5,1.2,0.429,0.6,2.0,0.316,0.0,0.1,0.0,1996
68,369,Charlie Ward,1610612752.0,NYK,26.0,0.8,1.8,0.465,0.1,0.2,0.333,0.1,0.2,0.417,0.1,0.2,0.333,0.6,1.7,0.362,1996
69,685,Cherokee Parks,1610612750.0,MIN,24.0,0.8,1.4,0.579,0.1,0.3,0.313,0.2,0.4,0.48,0.3,0.7,0.458,0.0,0.1,0.4,1996
70,713,Chris Carr,1610612750.0,MIN,23.0,0.9,1.4,0.623,0.3,0.5,0.556,0.5,0.9,0.511,0.1,0.6,0.219,0.6,1.5,0.378,1996
71,164,Chris Childs,1610612752.0,NYK,29.0,1.0,2.3,0.446,0.1,0.3,0.5,0.2,0.5,0.324,0.7,1.8,0.412,1.1,2.6,0.435,1996
72,201,Chris Dudley,1610612757.0,POR,32.0,1.1,2.2,0.481,0.3,1.0,0.359,0.1,0.3,0.417,0.0,0.1,0.1,0.0,0.0,0.0,1996
