,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,243,Aaron McKie,1610612755,PHI,31.0,1.1,1.9,0.576,0.2,0.5,0.39,0.4,1.0,0.416,0.6,1.6,0.373,1.0,2.0,0.503,2003
1,1425,Aaron Williams,1610612751,NJN,32.0,1.6,2.4,0.653,0.3,1.0,0.278,0.1,0.4,0.357,0.4,0.8,0.441,0.0,0.1,0.0,2003
2,1502,Adonal Foyle,1610612744,GSW,29.0,1.0,1.8,0.564,0.3,0.7,0.393,0.1,0.2,0.222,0.0,0.3,0.071,0.0,0.0,1.0,2003
3,1559,Adrian Griffin,1610612745,HOU,29.0,0.1,0.2,0.667,0.0,0.1,0.0,0.1,0.2,0.333,0.1,0.6,0.125,0.0,0.1,0.0,2003
4,1733,Al Harrington,1610612754,IND,24.0,2.3,4.2,0.547,0.3,1.2,0.297,0.9,2.0,0.453,1.3,2.8,0.466,0.4,0.9,0.397,2003
5,673,Alan Henderson,1610612737,ATL,31.0,1.0,1.7,0.6,0.0,0.8,0.0,0.4,0.8,0.5,0.3,0.5,0.667,0.0,0.0,0.0,2003
6,2682,Alex Garcia,1610612759,SAS,24.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,2003
7,275,Allan Houston,1610612752,NYK,33.0,0.2,0.7,0.286,0.5,1.1,0.444,1.3,2.7,0.474,2.4,5.4,0.446,1.9,4.2,0.462,2003
8,947,Allen Iverson,1610612755,PHI,29.0,3.6,7.2,0.507,0.7,2.0,0.368,0.7,2.1,0.314,2.3,6.5,0.35,1.0,3.0,0.338,2003
9,297,Alonzo Mourning,1610612751,NJN,34.0,1.5,2.3,0.643,0.7,1.2,0.571,0.3,0.8,0.3,0.3,1.4,0.176,0.1,0.2,0.5,2003
10,2228,Alton Ford,1610612745,HOU,23.0,0.3,0.6,0.6,0.0,0.2,0.0,0.2,0.2,1.0,0.3,0.5,0.5,0.0,0.0,0.0,2003
11,1541,Alvin Williams,1610612761,TOR,29.0,0.6,1.1,0.556,0.3,0.7,0.432,0.3,0.8,0.364,1.3,3.2,0.418,0.9,2.5,0.367,2003
12,1043,Amal McCaskill,1610612755,PHI,30.0,0.6,1.1,0.538,0.1,0.2,0.333,0.1,0.3,0.353,0.1,0.4,0.125,0.0,0.0,0.0,2003
13,2405,Amar'e Stoudemire,1610612756,PHX,21.0,4.5,7.5,0.604,1.5,3.9,0.386,0.7,2.1,0.363,0.6,2.0,0.313,0.1,0.2,0.3,2003
14,1889,Andre Miller,1610612743,DEN,28.0,2.7,4.5,0.599,0.8,1.9,0.429,0.9,2.1,0.414,0.7,2.0,0.333,0.1,0.4,0.2,2003
15,1905,Andrei Kirilenko,1610612762,UTA,23.0,3.6,6.5,0.56,0.3,0.6,0.447,0.1,0.5,0.128,0.3,1.1,0.241,0.8,2.3,0.348,2003
16,692,Andrew DeClercq,1610612753,ORL,31.0,1.1,2.0,0.532,0.1,0.5,0.303,0.1,0.2,0.357,0.0,0.1,0.333,0.0,0.0,1.0,2003
17,358,Anfernee Hardaway,1610612752,NYK,32.0,0.9,1.8,0.475,0.4,1.1,0.383,0.5,1.1,0.425,1.1,2.7,0.402,0.8,2.0,0.379,2003
18,1738,Ansu Sesay,1610612760,SEA,27.0,0.8,1.2,0.638,0.1,0.3,0.308,0.1,0.2,0.3,0.3,0.9,0.316,0.3,0.8,0.4,2003
19,1712,Antawn Jamison,1610612742,DAL,28.0,3.5,5.1,0.675,1.3,2.9,0.449,0.4,1.0,0.41,0.4,1.1,0.396,0.2,0.8,0.284,2003
20,1853,Anthony Carter,1610612759,SAS,29.0,0.8,1.8,0.444,0.0,0.6,0.0,0.3,1.0,0.25,0.8,3.0,0.267,0.4,1.0,0.4,2003
21,924,Anthony Goldwire,1610612751,NJN,32.0,0.1,0.2,0.5,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.5,0.4,0.2,0.6,0.333,2003
22,1533,Anthony Johnson,1610612754,IND,29.0,0.4,0.8,0.45,0.1,0.3,0.24,0.2,0.5,0.436,0.8,1.8,0.439,0.7,1.5,0.45,2003
23,324,Anthony Peeler,1610612758,SAC,34.0,0.3,0.6,0.467,0.1,0.2,0.294,0.1,0.3,0.5,0.4,1.1,0.38,0.9,1.9,0.5,2003
24,952,Antoine Walker,1610612742,DAL,27.0,3.5,6.2,0.569,1.0,2.4,0.4,0.2,0.8,0.323,0.1,0.5,0.158,0.6,2.3,0.277,2003
25,1498,Antonio Daniels,1610612760,SEA,29.0,1.2,1.7,0.672,0.3,0.8,0.4,0.2,0.4,0.464,0.3,0.9,0.333,0.4,1.0,0.397,2003
26,213,Antonio Davis,1610612741,CHI,35.0,1.4,3.0,0.461,0.5,1.2,0.4,0.6,1.5,0.358,0.9,2.4,0.361,0.0,0.1,0.429,2003
27,686,Antonio McDyess,1610612756,PHX,29.0,1.3,1.9,0.654,0.3,0.7,0.393,0.5,1.4,0.352,1.0,2.4,0.404,0.1,0.1,0.5,2003
28,1506,Austin Croshere,1610612754,IND,29.0,0.5,1.2,0.467,0.0,0.2,0.273,0.0,0.2,0.077,0.2,0.5,0.375,0.6,1.4,0.4,2003
29,422,Avery Johnson,1610612744,GSW,39.0,1.3,2.6,0.492,0.2,0.6,0.286,0.0,0.3,0.154,0.3,0.7,0.344,0.0,0.1,0.0,2003
30,1884,Baron Davis,1610612740,NOH,25.0,3.3,6.2,0.536,0.3,0.9,0.339,0.5,1.4,0.341,0.9,2.6,0.35,2.2,6.0,0.369,2003
31,1052,Ben Handlogten,1610612762,UTA,30.0,1.4,2.5,0.548,0.1,0.1,1.0,0.0,0.2,0.0,0.1,0.1,0.5,0.0,0.0,0.0,2003
32,1112,Ben Wallace,1610612765,DET,29.0,3.1,6.0,0.525,0.2,1.2,0.191,0.2,1.0,0.228,0.3,1.0,0.299,0.0,0.1,0.125,2003
33,902,Bimbo Coles,1610612748,MIA,36.0,0.3,0.4,0.75,0.1,0.1,1.0,0.0,0.2,0.0,0.2,0.8,0.25,0.1,0.3,0.167,2003
34,448,Bo Outlaw,1610612763,MEM,33.0,1.6,2.7,0.61,0.3,0.8,0.339,0.0,0.1,0.222,0.0,0.2,0.176,0.0,0.0,0.0,2003
35,682,Bob Sura,1610612737,ATL,31.0,1.6,3.3,0.485,0.1,0.3,0.32,0.1,0.3,0.231,0.3,0.8,0.413,0.3,0.9,0.324,2003
36,1517,Bobby Jackson,1610612758,SAC,31.0,1.9,3.1,0.621,0.3,0.7,0.378,0.2,0.5,0.462,0.7,1.8,0.391,1.7,4.2,0.402,2003
37,2250,Bobby Simmons,1610612746,LAC,24.0,1.3,2.6,0.5,0.2,0.7,0.25,0.2,0.6,0.273,0.7,1.9,0.362,0.3,0.8,0.356,2003
38,1719,Bonzi Wells,1610612763,MEM,27.0,2.5,4.4,0.574,0.4,1.0,0.373,0.4,1.2,0.321,1.1,3.3,0.335,0.6,1.6,0.362,2003
