,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,243,Aaron McKie,1610612755,PHI,32.0,0.2,0.4,0.64,0.0,0.1,0.222,0.1,0.2,0.6,0.2,0.4,0.542,0.3,0.9,0.377,2004
1,1425,Aaron Williams,1610612761,TOR,33.0,0.4,0.7,0.586,0.2,0.4,0.417,0.1,0.4,0.333,0.1,0.3,0.3,0.0,0.0,0.0,2004
2,1502,Adonal Foyle,1610612744,GSW,30.0,1.4,2.7,0.534,0.4,0.8,0.446,0.1,0.3,0.429,0.1,0.2,0.375,0.0,0.0,0.0,2004
3,1559,Adrian Griffin,1610612741,CHI,30.0,0.2,0.6,0.357,0.1,0.3,0.389,0.1,0.3,0.467,0.3,1.0,0.297,0.2,0.3,0.5,2004
4,1733,Al Harrington,1610612737,ATL,25.0,4.2,7.1,0.591,0.5,1.4,0.341,0.7,2.3,0.299,1.1,2.7,0.407,0.3,1.0,0.313,2004
5,2744,Al Jefferson,1610612738,BOS,20.0,1.9,3.3,0.577,0.7,1.4,0.494,0.2,0.4,0.429,0.1,0.2,0.267,0.0,0.0,0.0,2004
6,673,Alan Henderson,1610612742,DAL,32.0,1.3,2.0,0.62,0.1,0.5,0.27,0.1,0.2,0.294,0.0,0.1,0.5,0.0,0.0,0.0,2004
7,1893,Aleksandar Radojevic,1610612762,UTA,28.0,0.2,1.0,0.167,0.2,0.4,0.5,0.1,0.1,1.0,0.1,0.2,0.5,0.0,0.0,0.0,2004
8,2682,Alex Garcia,1610612740,NOH,25.0,1.3,2.6,0.476,0.0,0.1,0.0,0.1,0.1,1.0,0.1,0.8,0.167,0.4,2.3,0.167,2004
9,275,Allan Houston,1610612752,NYK,34.0,0.1,0.3,0.4,0.2,0.3,0.667,0.6,1.4,0.429,1.5,3.6,0.403,1.4,3.5,0.406,2004
10,947,Allen Iverson,1610612755,PHI,30.0,4.3,8.1,0.536,0.8,1.8,0.456,1.1,3.0,0.386,2.1,5.6,0.371,1.1,2.9,0.368,2004
11,297,Alonzo Mourning,1610612748,MIA,35.0,1.6,3.0,0.541,0.5,1.1,0.472,0.1,0.4,0.308,0.5,1.3,0.413,0.0,0.2,0.0,2004
12,2405,Amar'e Stoudemire,1610612756,PHX,22.0,5.7,8.3,0.682,1.2,2.8,0.423,0.8,1.8,0.415,1.6,3.3,0.485,0.1,0.3,0.391,2004
13,2760,Anderson Varejao,1610612739,CLE,22.0,1.4,2.2,0.617,0.1,0.3,0.267,0.1,0.3,0.333,0.2,0.6,0.333,0.1,0.2,0.556,2004
14,2857,Andre Barrett,1610612753,ORL,23.0,0.3,0.6,0.435,0.1,0.2,0.25,0.2,0.3,0.545,0.2,0.6,0.348,0.5,1.2,0.39,2004
15,2765,Andre Emmett,1610612763,MEM,22.0,0.1,0.4,0.333,0.0,0.2,0.0,0.3,0.3,1.0,0.0,0.1,0.0,0.0,0.0,0.0,2004
