,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,lessthan5ft_FGM,lessthan5ft_FGA,lessthan5ft_FG_PCT,5_9ft_FGM,5_9ft_FGA,5_9ft_FG_PCT,10_14ft_FGM,10_14ft_FGA,10_14ft_FG_PCT,15_19ft_FGM,15_19ft_FGA,15_19ft_FG_PCT,20_24ft_FGM,20_24ft_FGA,20_24ft_FG_PCT,SEASON
0,1975,,,,,0.6,0.6,1.0,0.0,0.2,0.0,0.4,0.8,0.5,0.3,0.9,0.333,0.0,0.4,0.0,1999
1,920,A.C. Green,1610612747.0,LAL,36.0,1.0,1.8,0.527,0.1,0.3,0.333,0.3,0.7,0.361,0.7,1.7,0.424,0.0,0.1,0.444,1999
2,1920,A.J. Bramlett,1610612739.0,CLE,23.0,0.5,2.0,0.25,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999
3,243,Aaron McKie,1610612755.0,PHI,27.0,0.7,1.2,0.576,0.1,0.6,0.261,0.4,1.1,0.33,1.0,2.3,0.417,0.6,1.5,0.407,1999
4,1425,Aaron Williams,1610612764.0,WAS,28.0,2.3,3.6,0.643,0.3,1.2,0.253,0.1,0.4,0.344,0.1,0.4,0.4,0.0,0.0,0.667,1999
5,228,Adam Keefe,1610612762.0,UTA,30.0,0.6,1.0,0.585,0.0,0.3,0.133,0.1,0.5,0.24,0.1,0.4,0.318,0.0,0.1,0.0,1999
6,1502,Adonal Foyle,1610612744.0,GSW,25.0,1.8,3.3,0.552,0.7,1.4,0.475,0.1,0.3,0.208,0.0,0.1,0.429,0.0,0.0,0.0,1999
7,1559,Adrian Griffin,1610612738.0,BOS,25.0,1.5,2.7,0.552,0.1,0.5,0.188,0.1,0.5,0.273,0.5,1.2,0.372,0.3,0.8,0.37,1999
8,1733,Al Harrington,1610612754.0,IND,20.0,1.3,2.2,0.604,0.4,1.0,0.36,0.3,0.7,0.424,0.2,0.5,0.423,0.2,0.7,0.257,1999
9,673,Alan Henderson,1610612737.0,ATL,27.0,3.3,5.3,0.619,0.8,2.4,0.321,0.7,2.3,0.33,0.4,1.2,0.316,0.0,0.1,0.3,1999
10,1893,Aleksandar Radojevic,1610612761.0,TOR,23.0,0.7,1.7,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1999
11,275,Allan Houston,1610612752.0,NYK,29.0,1.0,2.3,0.45,0.5,1.2,0.43,1.6,3.2,0.502,2.5,4.7,0.525,1.5,3.2,0.456,1999
12,947,Allen Iverson,1610612755.0,PHI,25.0,4.8,7.9,0.61,0.5,2.6,0.199,1.0,3.3,0.298,2.2,5.7,0.383,1.2,2.8,0.429,1999
13,297,Alonzo Mourning,1610612748.0,MIA,30.0,4.0,5.4,0.732,1.6,3.1,0.504,1.3,3.1,0.412,1.3,3.1,0.434,0.1,0.2,0.389,1999
14,1541,Alvin Williams,1610612761.0,TOR,25.0,0.6,1.1,0.548,0.1,0.4,0.316,0.2,0.6,0.323,0.5,1.5,0.354,0.6,1.3,0.435,1999
15,1754,Andrae Patterson,1610612750.0,MIN,24.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.0,0.0,1999
16,1889,Andre Miller,1610612739.0,CLE,24.0,2.4,4.3,0.57,0.6,1.6,0.359,0.4,1.2,0.347,0.5,1.3,0.39,0.1,0.4,0.303,1999
17,692,Andrew DeClercq,1610612739.0,CLE,27.0,2.2,3.8,0.589,0.3,0.9,0.315,0.1,0.4,0.333,0.1,0.3,0.32,0.0,0.0,0.0,1999
18,457,Andrew Lang,1610612752.0,NYK,34.0,0.5,1.0,0.474,0.2,0.8,0.308,0.4,0.9,0.444,0.3,0.7,0.462,0.1,0.1,1.0,1999
19,358,Anfernee Hardaway,1610612756.0,PHX,28.0,2.7,4.5,0.614,0.7,1.6,0.427,0.8,2.0,0.403,1.3,2.9,0.454,0.7,1.8,0.368,1999
20,1712,Antawn Jamison,1610612744.0,GSW,24.0,4.9,8.2,0.592,2.0,4.9,0.406,0.6,2.3,0.273,0.7,1.8,0.397,0.1,0.3,0.273,1999
