,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,201985,A.J. Price,1610612754,IND,24.0,4.8,7.9,0.602,2010
1,201166,Aaron Brooks,1610612756,PHX,26.0,8.2,12.5,0.652,2010
2,201189,Aaron Gray,1610612740,NOH,26.0,3.4,5.1,0.654,2010
3,201151,Acie Law,1610612744,GSW,26.0,5.1,8.3,0.614,2010
4,1733,Al Harrington,1610612743,DEN,31.0,8.5,13.2,0.65,2010
5,201143,Al Horford,1610612737,ATL,25.0,11.7,19.3,0.608,2010
6,2744,Al Jefferson,1610612762,UTA,26.0,12.8,21.5,0.595,2010
7,201154,Al Thornton,1610612744,GSW,27.0,7.5,11.9,0.627,2010
8,202329,Al-Farouq Aminu,1610612746,LAC,20.0,6.3,10.4,0.605,2010
9,201582,Alexis Ajinca,1610612761,TOR,23.0,3.1,5.6,0.558,2010
10,202087,Alonzo Gee,1610612739,CLE,24.0,9.4,14.5,0.649,2010
11,2405,Amar'e Stoudemire,1610612752,NYK,28.0,14.8,25.2,0.587,2010
12,101161,Amir Johnson,1610612761,TOR,24.0,10.3,17.0,0.605,2010
13,2760,Anderson Varejao,1610612739,CLE,28.0,10.3,17.2,0.602,2010
14,101154,Andray Blatche,1610612764,WAS,24.0,13.8,21.6,0.637,2010
15,2738,Andre Iguodala,1610612755,PHI,27.0,12.4,21.4,0.579,2010
16,1889,Andre Miller,1610612757,POR,35.0,10.5,17.8,0.59,2010
17,200745,Andrea Bargnani,1610612761,TOR,25.0,15.6,25.1,0.623,2010
18,1905,Andrei Kirilenko,1610612762,UTA,30.0,11.0,18.7,0.586,2010
19,2804,Andres Nocioni,1610612755,PHI,31.0,6.4,10.3,0.619,2010
20,101106,Andrew Bogut,1610612749,MIL,26.0,10.5,19.3,0.544,2010
21,101115,Andrew Bynum,1610612747,LAL,23.0,8.7,15.5,0.563,2010
22,2740,Andris Biedrins,1610612744,GSW,25.0,9.4,14.7,0.64,2010
23,202360,Andy Rautins,1610612752,NYK,24.0,1.6,2.8,0.571,2010
24,1712,Antawn Jamison,1610612739,CLE,35.0,11.8,19.0,0.62,2010
25,1853,Anthony Carter,1610612752,NYK,36.0,4.3,7.8,0.55,2010
26,201627,Anthony Morrow,1610612751,NJN,25.0,11.8,19.9,0.595,2010
