,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,201985,A.J. Price,1610612754,IND,25.0,3.9,6.5,0.594,2011
1,201189,Aaron Gray,1610612761,TOR,27.0,5.6,9.1,0.612,2011
2,1733,Al Harrington,1610612743,DEN,32.0,9.4,15.7,0.596,2011
3,201143,Al Horford,1610612737,ATL,26.0,10.8,18.5,0.586,2011
4,2744,Al Jefferson,1610612762,UTA,27.0,12.3,21.0,0.585,2011
5,202329,Al-Farouq Aminu,1610612740,NOH,21.0,7.2,12.2,0.589,2011
6,101187,Alan Anderson,1610612761,TOR,29.0,9.6,16.8,0.57,2011
7,202692,Alec Burks,1610612762,UTA,20.0,5.8,10.2,0.57,2011
8,202087,Alonzo Gee,1610612739,CLE,25.0,11.0,17.8,0.618,2011
9,2405,Amar'e Stoudemire,1610612752,NYK,29.0,11.7,20.4,0.576,2011
10,101161,Amir Johnson,1610612761,TOR,25.0,7.5,14.4,0.524,2011
11,2760,Anderson Varejao,1610612739,CLE,29.0,11.2,17.8,0.628,2011
12,101154,Andray Blatche,1610612764,WAS,25.0,8.9,14.4,0.619,2011
13,2765,Andre Emmett,1610612751,NJN,29.0,3.2,6.4,0.5,2011
14,2738,Andre Iguodala,1610612755,PHI,28.0,10.4,19.0,0.546,2011
15,1889,Andre Miller,1610612743,DEN,36.0,9.1,15.3,0.59,2011
16,200745,Andrea Bargnani,1610612761,TOR,26.0,11.8,21.0,0.565,2011
17,2804,Andres Nocioni,1610612755,PHI,32.0,1.4,2.2,0.625,2011
18,101106,Andrew Bogut,1610612749,MIL,27.0,8.7,16.7,0.52,2011
19,101115,Andrew Bynum,1610612747,LAL,24.0,11.8,20.5,0.573,2011
20,202726,Andrew Goudelock,1610612747,LAL,23.0,3.4,5.9,0.577,2011
21,2740,Andris Biedrins,1610612744,GSW,26.0,5.4,9.2,0.586,2011
22,1712,Antawn Jamison,1610612739,CLE,36.0,12.9,20.8,0.623,2011
23,1853,Anthony Carter,1610612761,TOR,37.0,2.7,4.9,0.546,2011
24,201627,Anthony Morrow,1610612751,NJN,26.0,9.9,15.8,0.627,2011
25,1515,Anthony Parker,1610612739,CLE,37.0,10.1,15.6,0.648,2011
26,201576,Anthony Randolph,1610612750,MIN,22.0,5.8,10.4,0.56,2011
27,201229,Anthony Tolliver,1610612750,MIN,27.0,6.1,10.0,0.611,2011
28,202356,Armon Johnson,1610612751,NJN,23.0,4.3,7.8,0.557,2011
29,201167,Arron Afflalo,1610612743,DEN,26.0,11.8,19.8,0.594,2011
30,201948,Austin Daye,1610612765,DET,24.0,5.0,8.1,0.618,2011
31,202340,Avery Bradley,1610612738,BOS,21.0,7.0,13.0,0.54,2011
32,1884,Baron Davis,1610612752,NYK,33.0,7.1,12.0,0.593,2011
33,2732,Ben Gordon,1610612765,DET,29.0,9.2,15.1,0.607,2011
34,202386,Ben Uzoh,1610612761,TOR,24.0,6.5,12.1,0.539,2011
35,1112,Ben Wallace,1610612765,DET,37.0,4.1,7.2,0.573,2011
36,2757,Beno Udrih,1610612749,MIL,29.0,5.3,10.2,0.519,2011
37,202687,Bismack Biyombo,1610612766,CHA,19.0,9.9,16.9,0.587,2011
38,201336,Blake Ahearn,1610612762,UTA,28.0,2.5,4.5,0.556,2011
39,201933,Blake Griffin,1610612746,LAC,23.0,11.4,19.2,0.594,2011
40,2250,Bobby Simmons,1610612746,LAC,32.0,4.7,7.1,0.665,2011
41,2564,Boris Diaw,1610612759,SAS,30.0,9.6,16.9,0.569,2011
42,1802,Brad Miller,1610612750,MIN,36.0,3.8,5.5,0.695,2011
43,201148,Brandan Wright,1610612742,DAL,24.0,5.9,10.6,0.561,2011
44,101138,Brandon Bass,1610612738,BOS,27.0,11.4,20.4,0.559,2011
45,201943,Brandon Jennings,1610612749,MIL,22.0,14.1,24.3,0.579,2011
46,202688,Brandon Knight,1610612765,DET,20.0,11.7,19.2,0.611,2011
47,201575,Brandon Rush,1610612744,GSW,26.0,9.3,15.9,0.583,2011
48,2217,Brendan Haywood,1610612742,DAL,32.0,7.1,11.8,0.608,2011
49,2073,Brian Cardinal,1610612742,DAL,35.0,2.2,3.5,0.625,2011
50,2567,Brian Cook,1610612764,WAS,31.0,2.5,4.7,0.536,2011
51,2243,Brian Scalabrine,1610612741,CHI,34.0,1.8,3.4,0.548,2011
52,1730,Brian Skinner,1610612763,MEM,36.0,1.0,2.0,0.5,2011
53,201572,Brook Lopez,1610612751,NJN,24.0,11.8,18.8,0.628,2011
54,201957,Byron Mullens,1610612766,CHA,23.0,10.6,17.2,0.62,2011
55,101139,CJ Miles,1610612762,UTA,25.0,7.1,12.1,0.589,2011
56,201228,CJ Watson,1610612741,CHI,28.0,7.5,13.2,0.567,2011
57,201171,Carl Landry,1610612740,NOH,28.0,8.5,13.4,0.632,2011
58,201291,Carldell Johnson,1610612740,NOH,29.0,1.8,3.1,0.574,2011
59,2430,Carlos Boozer,1610612741,CHI,30.0,10.1,18.1,0.56,2011
60,2568,Carlos Delfino,1610612749,MIL,29.0,11.5,19.9,0.579,2011
61,2546,Carmelo Anthony,1610612752,NYK,28.0,11.3,20.3,0.558,2011
62,2406,Caron Butler,1610612746,LAC,32.0,9.5,15.9,0.594,2011
63,201858,Cartier Martin,1610612764,WAS,27.0,6.3,11.2,0.56,2011
64,202718,Chandler Parsons,1610612745,HOU,23.0,10.9,17.9,0.607,2011
65,101112,Channing Frye,1610612756,PHX,29.0,8.7,14.3,0.606,2011
66,101236,Charles Hayes,1610612758,SAC,29.0,7.2,11.6,0.625,2011
67,202724,Charles Jenkins,1610612744,GSW,23.0,6.4,11.2,0.573,2011
68,101111,Charlie Villanueva,1610612765,DET,27.0,5.8,9.8,0.585,2011
69,201978,Chase Budinger,1610612745,HOU,24.0,8.3,13.3,0.625,2011
70,1497,Chauncey Billups,1610612746,LAC,35.0,10.3,17.5,0.587,2011
71,2365,Chris Andersen,1610612743,DEN,33.0,5.4,9.9,0.543,2011
72,2547,Chris Bosh,1610612748,MIA,28.0,10.7,19.8,0.539,2011
73,2768,Chris Duhon,1610612753,ORL,29.0,5.8,10.0,0.575,2011
74,202419,Chris Johnson,1610612740,NOH,26.0,2.6,4.4,0.602,2011
75,2549,Chris Kaman,1610612740,NOH,30.0,11.3,18.9,0.594,2011
76,101108,Chris Paul,1610612746,LAC,27.0,11.5,19.0,0.607,2011
77,202698,Chris Singleton,1610612764,WAS,22.0,7.6,13.0,0.583,2011
78,2404,Chris Wilcox,1610612738,BOS,29.0,6.8,11.8,0.574,2011
