,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,201166,Aaron Brooks,1610612745,HOU,24.0,7.0,12.8,0.549,2008
1,201189,Aaron Gray,1610612741,CHI,24.0,4.5,7.9,0.57,2008
2,201151,Acie Law,1610612737,ATL,24.0,3.5,6.1,0.58,2008
3,200747,Adam Morrison,1610612747,LAL,24.0,4.8,8.2,0.581,2008
4,1502,Adonal Foyle,1610612753,ORL,34.0,1.4,3.7,0.378,2008
5,1733,Al Harrington,1610612752,NYK,29.0,13.3,21.1,0.628,2008
6,201143,Al Horford,1610612737,ATL,23.0,11.2,19.0,0.591,2008
7,2744,Al Jefferson,1610612750,MIN,24.0,12.1,20.0,0.608,2008
8,201154,Al Thornton,1610612746,LAC,25.0,13.9,23.7,0.586,2008
9,201169,Alando Tucker,1610612756,PHX,25.0,3.1,5.2,0.599,2008
10,101165,Alex Acker,1610612746,LAC,26.0,3.1,5.2,0.597,2008
11,201582,Alexis Ajinca,1610612766,CHA,21.0,1.6,2.8,0.568,2008
12,947,Allen Iverson,1610612765,DET,34.0,11.5,19.7,0.582,2008
13,2405,Amar'e Stoudemire,1610612756,PHX,26.0,10.8,18.2,0.595,2008
14,101161,Amir Johnson,1610612765,DET,22.0,3.9,7.2,0.546,2008
15,2760,Anderson Varejao,1610612739,CLE,26.0,9.7,16.7,0.579,2008
16,101154,Andray Blatche,1610612764,WAS,22.0,8.3,13.9,0.599,2008
17,2810,Andre Brown,1610612766,CHA,28.0,3.3,6.3,0.52,2008
18,2738,Andre Iguodala,1610612755,PHI,25.0,13.1,23.2,0.565,2008
19,1889,Andre Miller,1610612755,PHI,33.0,11.9,20.7,0.575,2008
20,200745,Andrea Bargnani,1610612761,TOR,23.0,11.6,19.0,0.614,2008
21,1905,Andrei Kirilenko,1610612762,UTA,28.0,9.3,16.3,0.569,2008
