,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,920,A.C. Green,1610612742,DAL,34.0,12.2,20.4,0.6,1997
1,243,Aaron McKie,1610612755,PHI,25.0,6.1,10.8,0.562,1997
2,1425,Aaron Williams,1610612760,SEA,26.0,4.5,7.5,0.599,1997
3,228,Adam Keefe,1610612762,UTA,28.0,8.0,13.6,0.583,1997
4,1502,Adonal Foyle,1610612744,GSW,23.0,4.1,7.1,0.567,1997
5,154,Adrian Caldwell,1610612742,DAL,31.0,1.0,1.0,1.0,1997
6,673,Alan Henderson,1610612737,ATL,25.0,10.2,18.2,0.562,1997
7,275,Allan Houston,1610612752,NYK,27.0,9.9,16.8,0.585,1997
8,947,Allen Iverson,1610612755,PHI,23.0,13.3,22.7,0.586,1997
9,297,Alonzo Mourning,1610612748,MIA,28.0,8.4,16.8,0.498,1997
10,175,Alton Lister,1610612757,POR,39.0,0.9,1.9,0.462,1997
11,1541,Alvin Williams,1610612761,TOR,23.0,6.8,12.8,0.532,1997
12,692,Andrew DeClercq,1610612738,BOS,25.0,7.9,12.7,0.621,1997
13,457,Andrew Lang,1610612749,MIL,32.0,4.0,6.2,0.646,1997
14,358,Anfernee Hardaway,1610612753,ORL,26.0,11.1,19.4,0.571,1997
15,194,Anthony Bowie,1610612752,NYK,34.0,2.7,4.2,0.632,1997
16,924,Anthony Goldwire,1610612743,DEN,26.0,9.7,15.1,0.643,1997
17,1533,Anthony Johnson,1610612758,SAC,23.0,11.3,18.7,0.606,1997
18,193,Anthony Mason,1610612766,CHH,31.0,13.5,22.2,0.608,1997
19,292,Anthony Miller,1610612737,ATL,26.0,2.9,4.5,0.642,1997
20,1515,Anthony Parker,1610612755,PHI,23.0,1.8,2.8,0.635,1997
21,324,Anthony Peeler,1610612750,MIN,28.0,12.2,20.4,0.599,1997
22,156,Antoine Carr,1610612762,UTA,36.0,4.3,7.8,0.55,1997
23,952,Antoine Walker,1610612738,BOS,21.0,17.7,27.6,0.64,1997
24,1498,Antonio Daniels,1610612763,VAN,23.0,10.1,16.1,0.626,1997
25,213,Antonio Davis,1610612754,IND,29.0,7.7,13.5,0.568,1997
26,226,Antonio Lang,1610612748,MIA,26.0,2.5,3.8,0.652,1997
27,686,Antonio McDyess,1610612756,PHX,23.0,10.6,17.9,0.59,1997
28,288,Armen Gilliam,1610612749,MIL,34.0,9.7,15.8,0.614,1997
29,717,Arvydas Sabonis,1610612757,POR,33.0,9.3,16.9,0.549,1997
30,1506,Austin Croshere,1610612754,IND,23.0,2.9,4.3,0.67,1997
31,422,Avery Johnson,1610612759,SAS,33.0,9.8,19.2,0.508,1997
32,769,B.J. Armstrong,1610612766,CHH,30.0,4.5,7.1,0.636,1997
33,989,Ben Davis,1610612752,NYK,25.0,0.9,1.0,0.857,1997
34,1112,Ben Wallace,1610612764,WAS,23.0,6.0,11.0,0.541,1997
35,104,Benoit Benjamin,1610612755,PHI,33.0,3.9,6.8,0.579,1997
