,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,243,Aaron McKie,1610612755,PHI,31.0,8.1,14.2,0.569,2003
1,1425,Aaron Williams,1610612751,NJN,32.0,5.2,9.2,0.563,2003
2,1502,Adonal Foyle,1610612744,GSW,29.0,4.8,8.2,0.593,2003
3,1559,Adrian Griffin,1610612745,HOU,29.0,1.7,3.8,0.452,2003
4,1733,Al Harrington,1610612754,IND,24.0,9.0,15.9,0.568,2003
5,673,Alan Henderson,1610612737,ATL,31.0,3.7,5.7,0.647,2003
6,2682,Alex Garcia,1610612759,SAS,24.0,1.0,1.5,0.667,2003
7,275,Allan Houston,1610612752,NYK,33.0,9.1,17.4,0.525,2003
8,947,Allen Iverson,1610612755,PHI,29.0,13.6,23.9,0.57,2003
9,297,Alonzo Mourning,1610612751,NJN,34.0,4.9,10.3,0.48,2003
10,2228,Alton Ford,1610612745,HOU,23.0,0.9,1.4,0.615,2003
11,1541,Alvin Williams,1610612761,TOR,29.0,9.5,17.2,0.552,2003
12,1043,Amal McCaskill,1610612755,PHI,30.0,3.3,5.1,0.634,2003
13,2405,Amar'e Stoudemire,1610612756,PHX,21.0,12.8,22.1,0.578,2003
14,1889,Andre Miller,1610612743,DEN,28.0,12.3,21.2,0.579,2003
15,1905,Andrei Kirilenko,1610612762,UTA,23.0,9.8,18.2,0.539,2003
16,692,Andrew DeClercq,1610612753,ORL,31.0,5.5,9.1,0.602,2003
17,358,Anfernee Hardaway,1610612752,NYK,32.0,8.6,14.7,0.583,2003
18,1738,Ansu Sesay,1610612760,SEA,27.0,3.2,5.3,0.602,2003
19,1712,Antawn Jamison,1610612742,DAL,28.0,10.6,17.1,0.618,2003
20,1853,Anthony Carter,1610612759,SAS,29.0,5.2,12.6,0.413,2003
21,924,Anthony Goldwire,1610612751,NJN,32.0,2.1,3.6,0.575,2003
22,1533,Anthony Johnson,1610612754,IND,29.0,6.4,11.4,0.565,2003
23,324,Anthony Peeler,1610612758,SAC,34.0,5.9,9.3,0.631,2003
24,952,Antoine Walker,1610612742,DAL,27.0,13.3,21.3,0.624,2003
25,1498,Antonio Daniels,1610612760,SEA,29.0,7.3,12.6,0.581,2003
26,213,Antonio Davis,1610612741,CHI,35.0,9.4,17.7,0.53,2003
27,686,Antonio McDyess,1610612756,PHX,29.0,7.3,12.4,0.587,2003
28,1506,Austin Croshere,1610612754,IND,29.0,3.7,6.6,0.562,2003
29,422,Avery Johnson,1610612744,GSW,39.0,5.0,8.5,0.586,2003
30,1884,Baron Davis,1610612740,NOH,25.0,12.1,21.9,0.554,2003
31,1052,Ben Handlogten,1610612762,UTA,30.0,3.2,5.3,0.611,2003
32,1112,Ben Wallace,1610612765,DET,29.0,10.6,20.1,0.526,2003
33,902,Bimbo Coles,1610612748,MIA,36.0,2.0,3.0,0.667,2003
34,448,Bo Outlaw,1610612763,MEM,33.0,5.5,10.5,0.521,2003
35,682,Bob Sura,1610612737,ATL,31.0,7.0,11.9,0.591,2003
36,1517,Bobby Jackson,1610612758,SAC,31.0,7.9,12.8,0.617,2003
37,2250,Bobby Simmons,1610612746,LAC,24.0,7.7,12.6,0.611,2003
38,1719,Bonzi Wells,1610612763,MEM,27.0,8.6,15.6,0.55,2003
39,2564,Boris Diaw,1610612737,ATL,22.0,8.4,15.0,0.56,2003
40,2411,Bostjan Nachbar,1610612745,HOU,23.0,2.3,4.5,0.51,2003
41,1802,Brad Miller,1610612758,SAC,28.0,11.9,19.6,0.604,2003
42,2220,Brandon Armstrong,1610612751,NJN,24.0,2.4,4.0,0.607,2003
43,2599,Brandon Hunter,1610612738,BOS,23.0,3.6,5.8,0.614,2003
44,2217,Brendan Haywood,1610612764,WAS,24.0,6.0,9.6,0.618,2003
45,699,Brent Barry,1610612760,SEA,32.0,10.5,17.7,0.593,2003
46,1510,Brevin Knight,1610612749,MIL,28.0,5.7,9.8,0.58,2003
47,2073,Brian Cardinal,1610612744,GSW,27.0,6.1,10.3,0.59,2003
48,2567,Brian Cook,1610612747,LAL,23.0,3.7,6.1,0.618,2003
49,258,Brian Grant,1610612748,MIA,32.0,7.7,13.2,0.582,2003
50,2243,Brian Scalabrine,1610612751,NJN,26.0,3.8,6.8,0.549,2003
51,1730,Brian Skinner,1610612749,MIL,28.0,10.3,17.3,0.594,2003
52,2639,Britton Johnsen,1610612753,ORL,24.0,4.8,8.2,0.585,2003
53,1477,Bruce Bowen,1610612759,SAS,33.0,9.2,18.0,0.509,2003
54,1743,Bruno Sundov,1610612752,NYK,24.0,2.0,3.4,0.588,2003
55,1724,Bryce Drew,1610612740,NOH,29.0,1.8,2.8,0.643,2003
56,935,Bryon Russell,1610612747,LAL,33.0,3.8,6.3,0.607,2003
57,384,Calbert Cheaney,1610612744,GSW,32.0,8.2,13.9,0.589,2003
58,1916,Calvin Booth,1610612760,SEA,28.0,5.5,9.8,0.563,2003
59,2306,Carlos Arroyo,1610612762,UTA,24.0,7.7,14.0,0.551,2003
60,2430,Carlos Boozer,1610612739,CLE,22.0,11.9,21.7,0.55,2003
61,2546,Carmelo Anthony,1610612743,DEN,20.0,13.5,23.1,0.586,2003
62,2406,Caron Butler,1610612748,MIA,24.0,8.1,14.0,0.577,2003
63,2418,Casey Jacobsen,1610612756,PHX,23.0,8.3,13.5,0.611,2003
64,2456,Cezary Trybanski,1610612752,NYK,24.0,0.6,1.1,0.5,2003
65,891,Charles Oakley,1610612745,HOU,40.0,0.6,1.6,0.364,2003
66,369,Charlie Ward,1610612759,SAS,33.0,4.7,8.8,0.537,2003
67,1497,Chauncey Billups,1610612765,DET,27.0,10.2,19.5,0.523,2003
68,685,Cherokee Parks,1610612744,GSW,31.0,1.3,2.1,0.64,2003
69,2365,Chris Andersen,1610612743,DEN,25.0,5.0,9.3,0.538,2003
70,2547,Chris Bosh,1610612761,TOR,20.0,10.1,18.9,0.536,2003
71,1544,Chris Crawford,1610612737,ATL,29.0,7.6,12.8,0.596,2003
72,2423,Chris Jefferies,1610612741,CHI,24.0,2.9,5.1,0.556,2003
73,2549,Chris Kaman,1610612746,LAC,22.0,7.8,13.4,0.581,2003
74,2036,Chris Mihm,1610612738,BOS,24.0,5.1,9.4,0.544,2003
75,185,Chris Webber,1610612758,SAC,31.0,12.9,19.8,0.649,2003
76,43,Chris Whitney,1610612764,WAS,32.0,4.3,6.6,0.642,2003
77,2404,Chris Wilcox,1610612746,LAC,21.0,7.0,11.3,0.617,2003
78,363,Christian Laettner,1610612764,WAS,34.0,7.5,12.8,0.582,2003
79,1088,Chucky Atkins,1610612738,BOS,29.0,7.7,13.3,0.58,2003
80,221,Clar. Weatherspoon,1610612745,HOU,33.0,4.4,8.4,0.526,2003
81,361,Clifford Robinson,1610612744,GSW,37.0,11.5,19.9,0.578,2003
82,1894,Corey Maggette,1610612746,LAC,24.0,12.8,21.7,0.592,2003
83,916,Corie Blount,1610612761,TOR,35.0,5.5,9.9,0.556,2003
84,722,Corliss Williamson,1610612765,DET,30.0,5.5,10.0,0.549,2003
85,2414,Curtis Borchardt,1610612762,UTA,23.0,4.4,7.5,0.592,2003
86,1749,Cuttino Mobley,1610612745,HOU,28.0,9.9,18.6,0.531,2003
87,2563,Dahntay Jones,1610612763,MEM,23.0,2.3,4.6,0.5,2003
88,2402,Dajuan Wagner,1610612739,CLE,21.0,5.2,9.5,0.55,2003
89,905,Dale Davis,1610612757,POR,35.0,7.1,12.6,0.566,2003
90,1800,Damon Jones,1610612749,MIL,27.0,9.2,15.4,0.598,2003
91,757,Damon Stoudamire,1610612757,POR,30.0,12.5,22.5,0.554,2003
92,2245,Damone Brown,1610612751,NJN,25.0,3.7,4.7,0.786,2003
93,2424,Dan Dickau,1610612757,POR,25.0,2.0,3.5,0.559,2003
94,2429,Dan Gadzuric,1610612749,MIL,26.0,5.2,9.2,0.563,2003
95,2061,Dan Langhi,1610612749,MIL,26.0,1.3,2.3,0.571,2003
96,344,Dana Barros,1610612738,BOS,37.0,6.0,10.0,0.6,2003
97,2091,Daniel Santiago,1610612749,MIL,28.0,4.6,8.3,0.551,2003
98,1504,Danny Fortson,1610612742,DAL,28.0,4.1,6.7,0.613,2003
99,2032,Darius Miles,1610612757,POR,22.0,8.3,16.4,0.505,2003
100,2443,Darius Songaila,1610612758,SAC,26.0,4.4,7.0,0.631,2003
101,2545,Darko Milicic,1610612765,DET,19.0,1.1,2.3,0.474,2003
102,353,Darrell Armstrong,1610612740,NOH,36.0,9.2,15.7,0.582,2003
103,239,Darrick Martin,1610612750,MIN,33.0,2.4,4.9,0.494,2003
104,1032,Darvin Ham,1610612765,DET,30.0,2.2,3.7,0.608,2003
105,133,David Wesley,1610612740,NOH,33.0,10.1,17.4,0.581,2003
106,2561,David West,1610612740,NOH,23.0,4.3,7.3,0.585,2003
107,2205,DeSagana Diop,1610612739,CLE,22.0,3.7,7.3,0.509,2003
108,2052,DeShawn Stevenson,1610612753,ORL,23.0,10.0,17.4,0.577,2003
109,2035,DerMarr Johnson,1610612752,NYK,24.0,4.3,7.4,0.583,2003
110,1507,Derek Anderson,1610612757,POR,29.0,11.4,21.5,0.531,2003
111,965,Derek Fisher,1610612747,LAL,29.0,6.0,10.0,0.599,2003
112,934,Derrick Coleman,1610612755,PHI,37.0,8.1,14.1,0.575,2003
113,1760,Derrick Dial,1610612753,ORL,28.0,2.8,6.0,0.463,2003
114,2724,Desmond Ferguson,1610612757,POR,26.0,1.0,2.1,0.467,2003
