,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,opp_lessthan5ft_FGM,opp_lessthan5ft_FGA,opp_lessthan5ft_FG_PCT,SEASON
0,243,Aaron McKie,1610612755,PHI,32.0,4.8,7.9,0.608,2004
1,1425,Aaron Williams,1610612761,TOR,33.0,2.4,3.7,0.65,2004
2,1502,Adonal Foyle,1610612744,GSW,30.0,7.7,13.6,0.566,2004
3,1559,Adrian Griffin,1610612741,CHI,30.0,2.8,5.0,0.567,2004
4,1733,Al Harrington,1610612737,ATL,25.0,14.2,23.6,0.6,2004
5,2744,Al Jefferson,1610612738,BOS,20.0,4.9,8.7,0.56,2004
6,673,Alan Henderson,1610612742,DAL,32.0,5.2,9.2,0.563,2004
7,1893,Aleksandar Radojevic,1610612762,UTA,28.0,3.1,5.2,0.597,2004
8,2682,Alex Garcia,1610612740,NOH,25.0,5.8,9.5,0.605,2004
9,275,Allan Houston,1610612752,NYK,34.0,9.1,15.0,0.603,2004
10,947,Allen Iverson,1610612755,PHI,30.0,13.4,22.8,0.587,2004
11,297,Alonzo Mourning,1610612748,MIA,35.0,4.4,9.5,0.462,2004
12,2405,Amar'e Stoudemire,1610612756,PHX,22.0,13.7,22.9,0.599,2004
13,2760,Anderson Varejao,1610612739,CLE,22.0,4.8,9.1,0.53,2004
14,2857,Andre Barrett,1610612753,ORL,23.0,3.1,5.2,0.586,2004
15,2765,Andre Emmett,1610612763,MEM,22.0,1.5,2.5,0.6,2004
16,2738,Andre Iguodala,1610612755,PHI,21.0,10.6,18.1,0.585,2004
17,1889,Andre Miller,1610612743,DEN,29.0,11.0,18.7,0.59,2004
18,1905,Andrei Kirilenko,1610612762,UTA,24.0,9.2,16.7,0.549,2004
19,2804,Andres Nocioni,1610612741,CHI,25.0,6.8,12.1,0.563,2004
20,692,Andrew DeClercq,1610612753,ORL,32.0,1.9,2.9,0.652,2004
21,2740,Andris Biedrins,1610612744,GSW,19.0,3.4,6.7,0.507,2004
22,358,Anfernee Hardaway,1610612752,NYK,33.0,8.3,13.3,0.625,2004
23,1738,Ansu Sesay,1610612744,GSW,28.0,2.3,4.4,0.507,2004
24,1712,Antawn Jamison,1610612764,WAS,29.0,13.8,22.4,0.615,2004
25,1853,Anthony Carter,1610612750,MIN,30.0,3.4,5.9,0.573,2004
26,924,Anthony Goldwire,1610612749,MIL,33.0,7.1,11.5,0.618,2004
27,1533,Anthony Johnson,1610612754,IND,30.0,8.2,15.3,0.534,2004
28,292,Anthony Miller,1610612737,ATL,33.0,2.0,2.5,0.8,2004
29,324,Anthony Peeler,1610612764,WAS,35.0,4.5,7.6,0.593,2004
30,952,Antoine Walker,1610612738,BOS,28.0,14.6,24.4,0.6,2004
31,2766,Antonio Burks,1610612763,MEM,25.0,2.5,4.6,0.536,2004
32,1498,Antonio Daniels,1610612760,SEA,30.0,9.5,15.8,0.6,2004
33,213,Antonio Davis,1610612741,CHI,36.0,7.1,12.9,0.549,2004
34,686,Antonio McDyess,1610612765,DET,30.0,7.3,12.4,0.587,2004
35,1506,Austin Croshere,1610612754,IND,30.0,7.7,13.9,0.553,2004
